# Accelerometer Data File
# Started @Thu Mar 25 14:27:25 GMT 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.438 -0.629 9.722 0
1.532 -0.648 9.662 200
1.482 -0.715 9.744 199
1.381 -0.545 9.842 201
1.321 -0.579 9.859 199
1.233 -0.533 9.876 201
1.151 -0.608 9.89 200
1.036 -0.517 9.923 199
1.115 -0.507 9.873 201
1.039 -0.44 9.919 200
1.132 -0.325 9.878 200
1.237 -0.344 9.816 201
1.187 -0.27 9.844 200
1.314 -0.351 9.78 198
1.362 -0.387 9.727 200
1.266 -0.378 9.775 200
1.297 -0.454 9.737 200
1.292 -0.459 9.751 200
1.199 -0.545 9.782 200
1.201 -0.627 9.77 202
1.201 -0.658 9.682 201
0.885 -1.051 9.284 198
0.064 -1.769 9.136 199
-0.952 -3.265 8.688 200
-1.723 -5.015 7.905 202
-1.85 -6.634 7.168 199
-1.577 -7.773 5.947 199
-1.168 -9.069 5.001 201
-1.374 -9.145 4.228 199
-2.327 -9.334 4.151 200
-2.746 -9.289 4.213 201
-3.354 -8.14 4.671 200
-4.343 -7.07 6.138 202
-4.632 -5.31 6.979 198
-4.587 -3.866 8.066 199
-4.079 -3.512 8.872 201
-3.021 -3.416 8.71 199
-2.018 -3.713 9.232 201
-0.277 -3.502 9.198 200
1.819 -4.015 8.113 199
2.408 -6.083 6.651 201
1.493 -5.037 8.307 199
0.495 -4.168 9.078 200
-0.395 -1.975 9.459 201
2.078 -0.833 10.163 199
4.01 -4.141 5.896 200
1.611 -3.825 6.521 201
0.78 -3.457 7.623 199
-1.319 -1.151 8.516 201
-0.538 2.446 11.116 199
3.201 1.043 9.21 201
2.473 0.076 8.346 199
0.529 -0.502 9.454 200
0.136 -0.177 8.93 202
0.742 -0.395 9.282 199
3.275 -0.893 8.224 199
3.608 -3.129 7.354 202
0.66 -4.24 8.319 199
-1.412 -2.956 8.499 201
-2.305 -2.229 9.44 198
0.742 0.263 9.378 200
4.527 -0.191 7.173 200
