# Accelerometer Data File
# Started @Thu Mar 25 14:45:49 GMT 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.163 -0.761 9.54 0
1.206 -0.567 9.629 199
1.237 -0.596 9.713 201
1.082 -0.296 9.89 200
1.134 -0.217 9.95 200
1.213 -0.366 9.734 201
1.165 -0.244 9.792 198
1.189 -0.548 9.414 201
0.478 -1.278 9.117 200
-0.363 -2.964 8.743 201
-0.914 -5.726 7.615 199
-1.292 -7.568 6.634 200
-0.945 -9.03 5.791 200
-0.294 -9.191 4.75 200
0.1 -9.148 4.185 200
0.208 -9.287 4.048 199
-0.229 -9.394 3.639 200
-0.581 -9.346 3.622 200
-0.895 -8.35 4.039 201
-1.266 -8.113 4.311 200
-0.905 -8.571 4.395 200
-0.44 -8.769 4.91 200
-0.014 -8.772 5.054 201
0.222 -8.398 5.015 198
0.361 -7.359 5.59 201
0.038 -7.105 5.892 200
-0.708 -7.314 6.49 200
-1.599 -7.242 7.309 200
-2.564 -6.701 7.469 200
-3.071 -5.923 7.477 200
-2.583 -4.659 7.905 200
-1.58 -3.679 8.243 199
-0.797 -2.796 9.054 201
-0.033 -2.013 9.576 199
0.083 -1.381 9.777 201
0.823 -0.337 9.744 199
1.561 -0.387 9.423 201
1.628 -0.016 9.342 201
2.576 -0.478 8.446 199
2.7 -2.106 8.231 201
1.982 -6.141 7.412 199
0.773 -10.805 7.268 200
-0.529 -12.564 6.256 199
-1.999 -12.117 7.716 202
-2.161 -9.969 8.702 198
3.191 -7.184 6.938 202
4.268 -5.42 7.089 199
6.189 -6.617 4.429 201
7.082 -8.705 2.999 198
3.368 -11.451 2.317 200
1.537 -14.468 0.124 201
2.157 -12.653 0.952 199
1.687 -9.023 1.79 201
2.583 -6.634 3.991 201
7.338 -4.493 4.616 199
6.519 -6.011 3.339 200
6.866 -8.698 2.425 200
3.155 -10.388 1.922 199
1.122 -13.318 2.384 201
0.651 -12.773 3.785 201
1.256 -11.312 5.355 198
4.168 -11.48 4.754 201
4.443 -7.726 7.067 200
5.216 -7.41 6.344 200
5.087 -8.401 4.862 200
3.675 -8.372 4.089 199
1.893 -11.597 1.541 200
-1.108 -13.943 -2.147 200
-0.287 -12.097 -3.45 200
0.667 -8.887 -0.172 201
1.745 -7.984 2.075 199
5.612 -5.681 4.68 201
4.623 -5.681 5.892 201
5.171 -7.984 3.392 199
2.731 -8.973 2.564 199
1.651 -13.247 3.138 201
1.987 -13.953 2.389 201
2.674 -12.028 4.209 199
3.627 -11.607 6.378 200
5.556 -8.971 6.459 201
5.286 -7.51 7.419 198
5.114 -8.774 5.437 201
4.771 -9.497 3.284 199
2.983 -11.274 0.129 200
1.41 -12.911 -3.526 200
0.993 -12.152 -5.887 200
4.276 -8.41 -4.714 201
3.921 -7.101 0.15 200
7.433 -7.85 4.649 200
8.202 -6.859 7.481 200
7.175 -8.085 5.714 199
5.442 -9.026 4.484 200
2.968 -11.082 3.191 200
1.618 -14.35 1.769 201
1.711 -13.01 3.536 200
3.349 -10.982 4.407 199
3.758 -8.786 5.679 201
5.422 -5.832 7.096 201
4.618 -5.992 6.684 199
4.702 -6.112 5.729 201
3.394 -7.903 4.958 199
2.032 -10.948 2.849 199
0.452 -12.562 -0.837 201
-0.43 -12.363 -4.137 201
2.329 -8.623 -4.936 199
2.336 -5.602 -1.52 200
5.257 -5.398 0.962 200
7.029 -4.639 4.824 200
6.536 -4.355 5.456 200
7.45 -5.197 4.381 199
4.216 -5.513 4.915 201
2.808 -9.703 3.078 201
1.029 -13.469 0.976 199
0.869 -13.271 0.648 199
2.688 -11.87 1.996 201
2.454 -9.39 5.161 199
4.484 -6.751 6.684 201
3.797 -5.571 7.831 200
3.315 -6.452 7.395 200
3.823 -7.086 5.307 199
0.66 -9.55 5.257 201
0.926 -12.938 2.568 200
-1.98 -12.928 -1.453 200
-3.536 -12.105 -4.498 200
-0.591 -9.267 -4.419 201
0.423 -6.301 -2.528 199
4.252 -7.613 1.276 200
6.943 -6.66 4.52 200
6.789 -6.897 4.908 200
4.529 -8.377 5.094 200
1.936 -9.962 4.513 201
-0.404 -13.007 4.35 199
-2.011 -13.072 4.75 201
-1.446 -11.784 7.362 199
0.849 -9.61 7.036 202
2.789 -6.145 9.157 198
2.978 -5.085 10.228 200
3.174 -6.189 7.29 201
1.673 -7.929 8.078 199
0.864 -10.429 4.247 200
0.605 -12.746 0.588 200
-1.256 -13.656 -3.608 199
0.651 -11.171 -6.349 201
2.422 -8.18 -4.276 201
2.894 -6.675 -0.825 199
5.832 -5.695 3.502 199
5.444 -5.422 6.004 201
3.641 -6.624 6.03 200
3.021 -9.519 4.462 200
0.955 -11.966 4.261 199
0.342 -12.955 3.572 202
-0.912 -11.192 6.303 199
-1.374 -11.197 7.632 200
0.656 -8.93 9.306 200
1.197 -7.491 10.726 199
3.215 -8.619 8.209 201
2.145 -7.295 9.67 199
1.735 -7.4 8.753 201
0.409 -9.141 7.886 201
-3.79 -7.994 8.032 199
-4.101 -4.23 6.057 200
-6.251 -1.165 5.07 200
-6.303 1.795 6.136 199
-2.832 2.114 6.902 202
0.84 1.508 7.364 199
2.221 0.83 9.014 200
1.599 1.024 9.081 199
-0.909 2.197 8.681 201
-3.447 2.286 8.961 199
-4.228 2.561 8.865 201
-2.011 2.269 9.629 200
1.268 0.646 8.987 200
1.474 1.268 8.746 199
-0.445 2.571 7.426 201
-2.324 3.153 6.203 199
-1.532 4.316 6.725 201
0.452 4.182 6.907 201
2.161 3.687 7.414 199
-0.22 5.276 6.78 199
-3.217 4.86 6.725 201
-4.017 4.896 7.455 200
-2.566 5.049 8.001 200
-0.033 3.105 9.689 199
