# Accelerometer Data File
# Started @Tue Mar 30 14:45:43 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
2.987 2.037 9.006 0
2.983 2.032 8.968 9
3.019 1.984 8.911 10
3.059 1.934 8.836 11
3.193 1.946 8.722 10
3.227 1.893 8.707 9
3.22 1.884 8.712 10
3.172 1.896 8.738 10
3.126 1.891 8.748 10
3.059 1.91 8.803 11
3.002 1.934 8.829 9
2.985 1.936 8.834 10
2.995 1.944 8.846 10
3.031 1.953 8.825 10
3.086 1.958 8.817 10
3.169 1.97 8.781 10
3.227 1.977 8.738 10
3.265 1.963 8.707 10
3.258 1.951 8.705 10
3.222 1.932 8.731 10
3.196 1.9 8.746 10
3.189 1.891 8.748 10
3.203 1.865 8.746 10
3.213 1.853 8.772 10
3.213 1.853 8.81 10
3.241 1.884 8.825 10
3.265 1.929 8.829 10
3.301 1.977 8.772 10
3.315 2.018 8.707 11
3.301 2.027 8.667 10
3.28 2.008 8.619 10
3.253 1.968 8.645 10
3.248 1.934 8.678 10
3.27 1.874 8.717 10
3.299 1.843 8.762 10
3.349 1.814 8.734 10
3.397 1.81 8.698 10
3.418 1.831 8.657 10
3.421 1.891 8.64 10
3.399 1.953 8.657 10
3.385 2.025 8.69 10
3.38 2.056 8.712 10
3.394 2.049 8.71 10
3.397 1.97 8.702 10
3.402 1.821 8.664 10
3.397 1.714 8.638 10
3.385 1.611 8.662 10
3.385 1.58 8.69 10
3.366 1.642 8.762 10
3.344 1.742 8.829 10
3.33 1.838 8.846 10
3.335 1.927 8.844 10
3.351 1.958 8.82 10
3.414 1.951 8.75 10
3.493 1.893 8.676 10
3.552 1.843 8.621 10
3.557 1.766 8.59 10
3.519 1.69 8.609 10
3.45 1.709 8.671 10
3.337 1.731 8.76 10
3.28 1.778 8.825 10
3.227 1.857 8.892 10
3.201 1.874 8.93 10
3.217 1.889 8.942 10
3.265 1.917 8.935 10
3.308 1.915 8.925 10
3.351 1.9 8.858 10
3.402 1.881 8.784 10
3.421 1.848 8.729 10
3.43 1.812 8.681 10
3.428 1.805 8.681 10
3.394 1.79 8.693 9
3.368 1.776 8.717 10
3.351 1.764 8.734 10
3.378 1.781 8.738 11
3.428 1.781 8.726 9
3.471 1.781 8.702 10
3.473 1.771 8.683 10
3.433 1.733 8.676 10
3.363 1.714 8.698 10
3.311 1.723 8.738 10
3.299 1.742 8.774 10
3.404 1.829 8.76 10
3.538 1.924 8.729 10
3.6 1.98 8.702 11
3.598 1.953 8.638 9
3.478 1.86 8.623 10
3.363 1.798 8.554 10
3.356 1.778 8.367 10
3.414 1.841 8.219 10
3.612 1.893 7.886 11
3.806 1.915 7.608 10
3.883 1.805 7.606 10
3.751 1.582 7.898 10
3.478 1.369 8.374 12
2.906 1.13 9.117 8
2.398 0.991 9.677 10
2.183 1.077 9.854 10
2.269 1.276 9.742 10
2.655 1.501 9.363 10
3.143 1.707 8.987 10
3.524 1.829 8.836 10
3.603 1.838 8.975 10
3.502 1.886 9.337 10
3.299 1.953 9.696 10
3.107 2.018 9.878 14
2.995 1.987 9.866 6
3.062 1.917 9.631 10
3.134 1.9 9.26 10
3.217 1.857 8.93 10
3.284 1.843 8.777 10
3.327 1.833 8.674 10
3.366 1.771 8.707 10
3.236 1.642 8.832 10
3.028 1.611 8.944 10
2.844 1.575 9.006 10
2.722 1.544 9.035 10
2.767 1.58 8.973 10
2.901 1.635 8.899 10
3.04 1.685 8.793 10
3.117 1.731 8.722 10
3.227 1.786 8.635 10
3.265 1.79 8.59 10
3.323 1.798 8.566 10
3.332 1.786 8.568 10
3.308 1.764 8.585 10
3.299 1.733 8.628 10
3.256 1.714 8.683 10
3.26 1.714 8.712 10
3.28 1.709 8.755 10
3.284 1.714 8.772 10
3.32 1.721 8.796 10
3.371 1.757 8.834 10
3.406 1.798 8.858 10
3.433 1.848 8.848 10
3.438 1.886 8.829 10
3.411 1.867 8.781 10
3.39 1.838 8.743 10
3.378 1.8 8.738 10
3.378 1.762 8.734 10
3.394 1.752 8.743 10
3.435 1.778 8.719 10
3.519 1.821 8.647 10
3.591 1.865 8.576 10
3.61 1.879 8.52 10
3.572 1.85 8.511 10
3.49 1.805 8.549 10
3.438 1.762 8.568 10
3.438 1.747 8.571 10
3.476 1.771 8.564 10
3.478 1.798 8.595 10
3.452 1.821 8.645 10
3.435 1.857 8.683 10
3.409 1.872 8.71 10
3.375 1.838 8.671 10
3.38 1.774 8.616 10
3.375 1.697 8.573 10
3.38 1.596 8.532 10
3.438 1.539 8.523 10
3.457 1.513 8.53 10
3.488 1.539 8.585 10
3.509 1.589 8.638 10
3.524 1.671 8.726 10
3.509 1.766 8.805 10
3.483 1.81 8.836 10
3.466 1.81 8.865 10
3.447 1.781 8.853 10
3.473 1.726 8.846 10
3.485 1.642 8.834 10
3.488 1.601 8.825 10
3.481 1.594 8.803 10
3.404 1.584 8.834 10
3.342 1.604 8.87 10
3.306 1.637 8.87 10
3.28 1.637 8.882 10
3.323 1.668 8.82 10
3.426 1.666 8.707 10
3.502 1.649 8.631 10
3.564 1.651 8.571 10
3.61 1.637 8.537 10
3.543 1.637 8.595 10
3.457 1.654 8.669 10
3.385 1.651 8.726 10
3.294 1.649 8.808 10
3.284 1.642 8.815 10
3.294 1.618 8.805 10
3.327 1.613 8.791 10
3.38 1.608 8.753 10
3.428 1.632 8.755 10
3.462 1.64 8.748 10
3.471 1.628 8.746 10
3.481 1.623 8.717 10
3.466 1.613 8.681 10
3.457 1.594 8.664 10
3.447 1.575 8.662 10
3.438 1.549 8.686 10
3.44 1.52 8.724 10
3.459 1.477 8.779 10
3.478 1.434 8.82 10
3.517 1.316 8.846 10
3.543 1.201 8.858 10
3.552 1.034 8.86 10
3.519 0.782 8.858 10
3.466 0.605 8.87 10
3.409 0.39 8.834 10
3.361 0.268 8.781 10
3.332 0.179 8.676 10
3.27 -0.028 8.465 10
3.213 -0.198 8.303 10
3.148 -0.56 7.999 10
3.057 -0.962 7.618 10
2.999 -1.244 7.343 10
2.861 -1.584 6.979 10
2.729 -1.733 6.756 10
2.542 -1.812 6.655 10
2.382 -1.874 6.581 10
2.303 -1.879 6.596 10
2.233 -1.838 6.715 10
2.269 -1.776 6.847 10
1.869 -1.57 7.249 10
2.358 -1.838 7.189 10
2.837 -2.152 7.024 10
2.588 -2.059 7.345 10
2.604 -2.36 7.503 10
1.733 -2.188 8.123 10
0.871 -1.932 8.825 10
0.737 -2.082 9.04 10
0.837 -1.769 9.184 10
1.091 -1.489 9.32 10
1.335 -1.292 9.375 10
1.642 -1.079 9.337 10
1.857 -1.096 9.236 10
1.778 -0.991 9.131 10
1.417 -0.869 9.203 10
0.993 -0.763 9.368 10
0.45 -0.718 9.696 10
-0.069 -0.825 10.108 10
-0.306 -0.95 10.342 10
-0.639 -1.161 10.601 10
-0.852 -1.312 10.697 10
-0.873 -1.458 10.711 10
-0.821 -1.438 10.852 10
-0.672 -1.333 10.97 10
-0.667 -0.972 11.188 10
-0.737 -0.55 11.415 10
-1.051 -0.126 11.494 10
-1.601 0.359 11.595 10
-2.008 0.588 11.595 10
-2.454 0.823 11.602 10
-2.576 0.792 11.59 10
-2.461 0.699 11.556 10
-2.209 0.629 11.542 10
-1.92 0.555 11.52 10
-1.774 0.749 11.611 10
-1.58 0.967 11.683 10
-1.522 1.161 11.736 10
-1.4 1.29 11.722 10
-1.288 1.249 11.635 10
-1.247 1.108 11.458 10
-1.328 0.924 11.178 10
-1.474 0.804 10.965 10
-1.762 0.632 10.726 10
-2.025 0.536 10.596 10
-2.391 0.634 10.702 10
-2.99 1.256 11.046 10
-3.447 1.932 11.417 10
-3.751 3.071 11.88 10
-3.244 4.242 12.14 10
-2.504 4.888 12.162 10
-1.24 5.324 11.999 10
-0.129 5.295 11.745 10
0.507 4.73 11.566 10
0.94 3.866 11.468 10
0.849 3.213 11.554 10
0.44 2.355 11.736 10
-0.081 1.853 11.913 10
-0.746 1.438 12.095 10
-1.577 0.873 12.246 10
-1.97 0.306 12.275 20
-1.836 -0.404 12.028 10
-1.355 -0.905 11.695 10
-0.335 -1.367 11.116 10
0.565 -1.623 10.563 10
1.0 -1.738 10.151 10
1.273 -1.75 9.708 10
1.173 -1.649 9.543 10
0.9 -1.283 9.402 10
0.565 -0.914 9.394 10
0.368 -0.474 9.442 10
0.323 -0.088 9.495 10
0.45 0.031 9.524 10
0.763 0.079 9.483 10
1.165 -0.062 9.327 10
1.417 -0.148 9.167 12
1.608 -0.122 8.968 8
1.613 -0.023 8.839 9
1.405 0.428 8.896 11
1.019 1.058 9.059 10
0.694 1.575 9.26 10
0.27 1.867 9.526 10
