index;x;y;z
0;-0.126648;0.108810;-0.993774
1;0.004807;0.090530;-1.073776
2;-0.199814;0.045105;-0.941483
3;-0.318542;1.327240;-0.455032
4;-1.175446;1.094498;-0.345627
5;-0.915619;0.128784;0.106903
6;-1.124146;0.314575;-0.614426
7;-0.651840;-0.149551;0.085083
8;0.416229;0.777603;-0.244934
9;-0.743408;-0.129547;0.111618
10;-0.265762;1.196655;-0.735840
11;-0.514343;0.416641;-0.579315
12;-0.584930;1.377182;-0.032745
13;-0.284180;0.333099;-0.568604
14;-0.585464;1.055817;0.101486
15;-0.454941;0.579544;-0.771683
16;-0.760452;0.797073;0.268982
17;-0.913666;0.735947;-0.795395
18;-0.967346;0.535080;-0.004089
19;-1.839310;0.704544;-0.583450
20;-0.487839;-0.004211;-0.557129
21;0.185562;0.876236;-0.860916
22;-0.374664;-0.106384;-0.875992
23;-0.742065;1.253799;-0.573166
24;-1.927933;0.542725;-0.244263
25;-0.875229;0.077728;-0.290833
26;-0.561646;0.620331;-0.582932
27;-0.399155;-0.067673;-0.566757
28;-0.135437;1.022842;-1.059586
29;-0.776505;0.173630;-0.752060
30;-0.726501;0.965775;-0.448654
31;-1.894012;0.735229;-0.420715
32;-0.358078;0.158966;-0.512787
33;-0.139816;1.423477;-0.697342
34;-0.381058;0.253494;-0.546326
35;-0.637314;1.229614;-0.665558
36;-1.089783;0.636185;-0.818939
37;-0.625320;0.528229;-0.652069
38;-0.431091;0.512466;-0.534302
39;-2.038040;0.660248;-0.484787
40;-0.390625;0.218445;-0.482590
41;-0.618454;0.709122;-0.559174
42;0.319275;1.075150;-0.655426
43;0.577942;-0.024338;-0.485275
44;0.379395;-0.374298;0.368164
45;0.814194;-0.258957;-0.335617
46;-0.032394;0.005707;0.166611
47;0.146240;0.645248;-0.276245
48;0.643982;0.625992;-1.682190
49;1.944656;0.467422;-1.093231
50;0.442749;-0.072739;0.304001
51;0.019913;1.001129;-2.617828
52;1.014938;0.900467;-1.229538
53;0.675323;0.824509;-0.836792
54;1.036621;0.940689;-0.741867
55;1.576065;0.928207;-2.213135
56;0.970322;0.319382;-0.383408
57;0.730789;0.127335;-0.257568
58;1.153610;0.343918;-1.377350
59;1.441025;0.744919;-0.811554
60;0.198013;0.397110;-0.769318
