# Accelerometer Data File
# Started @Tue Mar 30 14:54:11 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
3.476 1.814 8.731 0
3.447 1.9 8.738 19
3.435 2.027 8.724 11
3.416 2.02 8.633 20
3.39 1.953 8.499 10
3.296 1.838 8.465 9
3.28 1.795 8.427 21
3.32 1.867 8.432 9
3.361 1.939 8.437 11
3.426 1.972 8.497 10
3.414 1.934 8.561 9
3.366 1.865 8.623 10
3.339 1.85 8.676 11
3.33 1.874 8.676 10
3.344 1.944 8.659 9
3.39 2.044 8.633 10
3.394 2.059 8.631 11
3.411 1.989 8.611 10
3.404 1.874 8.609 10
3.493 1.759 8.599 9
3.562 1.716 8.616 11
3.62 1.757 8.65 9
3.646 1.891 8.712 10
3.576 2.025 8.781 11
3.512 2.159 8.858 10
3.469 2.264 8.92 10
3.457 2.276 8.954 10
3.404 2.173 8.932 10
3.397 1.996 8.853 10
3.368 1.848 8.789 10
3.418 1.745 8.674 10
3.509 1.757 8.614 10
3.557 1.886 8.583 10
3.584 2.025 8.595 10
3.478 2.078 8.693 20
3.373 2.13 8.791 10
3.306 2.085 8.892 10
3.371 1.999 8.889 10
3.488 1.953 8.851 10
3.646 1.9 8.769 10
3.797 1.862 8.667 10
3.823 1.915 8.626 10
3.821 1.98 8.595 10
3.778 2.051 8.607 10
3.682 2.116 8.65 10
3.529 2.118 8.748 10
3.404 2.109 8.836 10
3.217 2.061 8.99 10
3.083 2.02 9.112 10
3.04 1.915 9.143 10
3.095 1.81 9.052 10
3.213 1.742 8.896 10
3.38 1.678 8.664 10
3.529 1.68 8.465 10
3.5 1.723 8.403 10
3.402 1.831 8.425 10
3.253 1.936 8.523 10
3.126 2.066 8.669 10
3.169 2.099 8.786 10
3.356 2.027 8.765 20
3.543 1.956 8.743 10
3.646 1.853 8.678 10
3.562 1.85 8.681 10
3.404 1.889 8.738 10
3.222 1.984 8.865 10
3.102 2.087 8.987 10
3.138 2.149 9.03 10
3.251 2.123 8.966 10
3.387 2.039 8.832 10
3.459 1.932 8.583 10
3.402 1.841 8.343 10
3.268 1.838 8.212 10
3.155 1.922 8.054 10
3.107 2.03 8.01 10
3.184 2.133 8.099 10
3.493 2.111 8.157 10
3.78 2.003 8.24 10
4.072 1.798 8.504 10
4.309 1.575 8.652 10
3.924 1.537 8.983 10
3.466 1.663 9.208 10
3.004 1.889 9.253 10
2.7 2.149 9.212 10
2.896 2.157 8.995 10
3.165 1.999 8.882 12
3.43 1.68 8.813 8
3.538 1.326 8.829 10
3.39 1.254 8.868 10
3.311 1.395 8.935 10
3.234 1.697 8.959 10
3.129 2.02 8.963 10
3.169 2.255 8.973 10
3.198 2.238 8.999 10
3.282 2.116 8.899 10
3.394 1.972 8.817 10
3.521 1.752 8.681 10
3.502 1.628 8.602 10
3.428 1.608 8.65 10
3.311 1.661 8.731 10
3.179 1.79 8.868 10
3.179 1.884 8.844 10
3.213 1.996 8.829 10
3.289 2.037 8.781 10
3.378 2.104 8.757 10
3.423 2.149 8.791 10
3.462 2.135 8.817 10
3.433 2.035 8.865 10
3.392 1.908 8.889 10
3.268 1.704 8.892 10
3.117 1.541 8.892 10
3.071 1.534 8.839 10
3.083 1.606 8.798 10
3.179 1.754 8.779 10
3.306 1.946 8.753 10
3.383 2.109 8.769 10
3.402 2.193 8.774 10
3.344 2.229 8.777 10
3.256 2.221 8.786 10
3.078 2.042 8.75 10
2.98 1.757 8.678 10
2.959 1.52 8.609 10
3.09 1.288 8.54 10
3.323 1.187 8.504 10
3.521 1.304 8.525 10
3.66 1.546 8.609 10
3.646 1.783 8.693 10
3.519 2.114 8.836 10
3.294 2.312 8.963 10
3.129 2.387 9.028 10
2.997 2.355 9.033 10
2.978 2.231 8.978 10
3.038 1.982 8.858 10
3.179 1.68 8.736 10
3.287 1.484 8.674 10
3.351 1.359 8.693 10
3.39 1.379 8.772 10
3.282 1.601 8.93 10
3.222 1.915 9.057 10
3.205 2.157 9.102 10
3.205 2.348 9.081 10
3.308 2.296 8.923 10
3.363 2.152 8.796 10
3.409 1.917 8.652 10
3.438 1.733 8.576 10
3.404 1.678 8.58 10
3.325 1.659 8.633 10
3.256 1.731 8.702 10
3.184 1.838 8.777 10
3.136 1.91 8.829 10
3.112 1.927 8.856 10
3.11 1.932 8.848 10
3.11 1.9 8.836 10
3.162 1.903 8.805 10
3.292 1.946 8.726 10
3.399 2.001 8.681 10
3.49 2.063 8.65 10
3.529 2.092 8.638 10
3.421 2.044 8.683 10
3.306 1.944 8.746 10
3.208 1.836 8.793 10
3.059 1.709 8.863 10
3.002 1.637 8.901 10
3.028 1.68 8.877 10
3.093 1.766 8.822 10
3.208 1.872 8.746 10
3.385 1.991 8.638 10
3.5 2.037 8.576 10
3.576 2.039 8.544 10
3.581 2.015 8.552 10
3.524 1.977 8.59 10
3.438 1.956 8.621 10
3.308 1.953 8.659 10
3.251 1.977 8.659 10
3.155 1.999 8.674 10
3.074 2.015 8.695 10
3.033 1.975 8.664 10
2.992 1.944 8.576 10
2.99 1.915 8.473 10
2.999 1.881 8.319 10
3.033 1.896 8.197 10
3.066 1.9 8.133 10
3.129 1.929 8.054 10
3.179 1.963 8.025 10
3.165 1.98 8.001 10
3.088 1.984 8.037 10
2.983 1.965 8.087 10
2.873 1.927 8.164 10
2.806 1.896 8.25 10
2.815 1.915 8.283 10
2.81 1.97 8.353 11
2.81 2.044 8.396 9
2.832 2.114 8.432 10
2.913 2.106 8.403 10
3.009 2.063 8.339 10
3.145 1.953 8.245 10
3.26 1.848 8.159 10
3.263 1.719 8.219 10
3.15 1.539 8.398 10
2.997 1.426 8.607 10
2.695 1.362 8.882 10
2.432 1.359 9.069 10
2.159 1.493 9.179 10
1.936 1.702 9.267 10
1.862 1.862 9.289 10
1.912 1.991 9.26 10
2.087 2.035 9.188 10
2.276 1.898 9.143 10
2.432 1.699 9.105 10
2.463 1.532 9.117 10
2.444 1.357 9.112 10
2.288 1.376 9.145 10
2.166 1.458 9.172 10
1.965 1.649 9.296 10
