# Accelerometer Data File
# Started @Fri May 07 16:20:46 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
6.311 5.781 3.778 0
6.392 5.664 3.696 9
6.473 5.626 3.811 11
6.732 5.209 3.919 10
7.06 4.891 3.998 10
7.587 4.309 3.861 9
7.963 3.667 3.639 11
8.24 3.682 3.462 9
8.377 3.993 3.507 11
8.315 4.568 3.768 10
8.118 5.001 3.991 9
7.843 5.157 4.175 10
7.728 4.934 4.096 11
7.728 4.69 3.986 10
7.862 4.587 3.914 10
7.884 4.604 3.739 10
7.728 4.955 3.845 9
7.457 5.329 3.981 10
7.086 5.647 4.247 10
6.828 5.846 4.616 10
6.861 5.762 4.402 11
6.758 5.92 4.199 9
6.756 6.133 3.866 10
6.545 6.306 3.584 11
6.2 6.507 3.643 10
5.997 6.289 3.557 9
5.911 5.992 3.406 11
6.033 5.736 3.205 10
6.258 5.413 3.172 9
6.648 5.286 3.198 11
6.921 5.238 3.289 10
7.173 5.178 3.246 10
7.321 5.185 3.035 10
7.146 5.178 2.681 10
6.653 5.439 2.073 10
6.181 5.712 1.599 10
5.36 6.157 1.505 10
4.692 6.598 1.632 10
4.362 6.612 2.492 10
4.52 6.382 3.145 10
5.027 5.98 3.418 10
6.141 5.451 3.684 10
7.383 5.073 3.366 10
8.137 4.939 3.253 10
8.564 5.008 3.239 10
8.384 5.204 3.232 10
7.632 5.714 3.5 10
6.603 6.356 3.73 10
5.901 6.794 3.861 10
5.157 7.345 3.869 10
4.836 7.589 3.706 10
4.714 7.709 3.533 10
4.07 7.603 3.428 10
3.469 7.386 3.447 10
2.054 6.936 3.442 10
0.366 6.495 3.471 10
-0.799 6.279 3.433 10
-1.616 6.737 3.174 10
-1.618 7.426 2.94 10
-1.007 8.942 2.504 10
-0.478 10.429 2.791 10
-0.299 11.243 3.299 10
-0.002 11.314 4.28 10
0.033 10.544 5.477 10
0.94 9.232 6.193 10
2.561 7.817 6.974 10
4.065 7.144 7.28 10
5.556 6.782 7.869 10
6.258 6.991 8.216 10
6.011 7.493 8.916 10
5.59 7.955 9.555 10
5.181 8.106 9.911 10
4.73 8.046 10.225 10
4.45 7.553 9.876 10
4.345 7.101 9.586 10
4.177 6.517 9.1 10
4.05 6.143 8.657 11
3.869 6.09 8.358 9
3.402 5.999 8.123 10
2.997 6.04 8.085 10
2.456 5.916 7.912 10
2.035 5.712 7.843 10
1.97 5.351 7.58 10
1.944 4.848 7.003 10
2.054 4.51 6.56 10
1.762 4.055 5.959 10
1.072 3.536 6.076 10
0.344 3.157 6.507 10
-0.392 2.384 7.117 10
-0.727 1.728 7.886 10
-0.699 1.079 7.963 10
-0.672 0.493 7.855 10
