# Accelerometer Data File
# Started @Thu Mar 25 14:21:07 GMT 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.75 -1.438 9.691 0
1.673 -1.357 9.684 200
1.426 -1.446 9.751 200
1.467 -1.359 9.708 200
1.525 -1.551 9.55 200
1.431 -1.551 9.402 199
1.187 -2.09 8.923 201
0.215 -2.935 9.062 199
-0.754 -4.046 9.004 201
-1.563 -5.118 8.602 201
-1.972 -5.805 8.525 199
-1.922 -5.99 7.953 201
-2.173 -5.363 7.465 199
-2.43 -5.066 7.582 199
-2.377 -4.644 7.85 201
-2.865 -4.606 8.295 200
-2.863 -4.764 9.387 200
-1.824 -4.175 10.153 199
-0.217 -2.901 10.091 201
2.549 -2.41 8.985 201
4.663 -4.477 6.897 198
0.119 -7.232 6.454 200
-4.144 -7.893 7.278 200
-5.327 -8.418 7.199 603
-9.849 -6.459 10.345 198
-7.39 -4.137 9.742 202
-4.11 -1.587 9.27 198
-3.153 -0.447 9.184 201
1.927 -1.596 5.796 202
-0.141 -4.56 6.339 198
-3.066 -6.438 6.531 201
-2.995 -6.277 7.307 198
-3.392 -5.221 8.535 201
2.3 -4.0 6.495 210
-0.035 -4.122 8.001 203
-3.873 -3.892 7.491 196
-5.307 -2.054 7.407 200
-5.834 0.059 8.99 204
0.071 -3.265 5.231 195
-0.61 -3.746 7.378 200
-2.032 -4.46 7.369 201
-3.675 -3.605 8.535 202
-3.303 -1.572 9.847 203
0.179 -4.812 6.167 197
-1.115 -5.109 7.113 201
-3.047 -5.171 5.523 199
-4.129 -3.758 6.083 198
-2.147 -2.221 8.159 201
-2.896 -5.817 6.454 202
-2.844 -6.117 8.659 198
-2.09 -5.487 7.328 201
-3.363 -4.132 7.254 200
1.338 -1.395 8.374 199
1.508 -5.683 5.319 202
-3.186 -6.56 7.896 196
-3.871 -5.365 6.861 200
-3.519 -4.963 7.184 201
0.792 -3.131 7.053 201
-0.126 -6.873 5.698 201
-3.813 -7.366 7.831 200
-5.406 -6.44 8.88 201
-6.988 -4.331 10.821 198
-1.086 -2.006 10.194 202
-2.489 -6.481 8.549 197
-5.734 -6.366 7.898 202
-5.971 -5.063 6.904 200
-6.32 -2.861 7.177 200
0.83 -0.746 6.667 200
2.65 -3.919 4.948 201
-0.462 -5.226 5.951 206
-3.445 -5.714 5.695 203
-5.6 -3.076 7.431 199
-1.953 -0.825 8.106 201
1.35 -2.102 6.837 201
0.699 -3.038 8.35 198
-1.783 -2.975 8.65 202
-3.794 -0.859 9.514 199
-3.253 0.016 10.484 202
0.909 -0.543 8.197 199
0.301 -3.105 7.338 200
-2.212 -4.831 7.201 199
-2.047 -3.076 7.187 201
-2.293 -1.043 8.477 197
2.379 0.0 8.121 203
5.214 -2.205 6.129 200
1.331 -3.586 6.854 199
-1.896 -4.084 6.378 201
-2.58 -2.226 6.995 200
-1.79 -0.385 8.655 200
2.097 -1.276 7.17 199
0.624 -3.73 7.86 201
-4.043 -4.118 7.922 200
-4.489 -2.7 7.235 199
-4.912 -1.027 8.006 200
0.517 -0.383 6.909 200
3.988 -3.387 4.946 200
0.126 -4.129 6.414 200
-1.697 -4.192 5.908 201
-3.349 -1.917 7.611 199
-2.612 0.339 9.172 198
1.805 -0.845 8.231 200
0.541 -3.478 7.857 200
-3.078 -4.41 8.054 202
-3.943 -3.438 7.79 200
-5.075 -1.994 8.339 201
-1.472 -0.191 9.543 199
3.181 -1.383 8.022 200
0.608 -2.942 8.65 200
-1.889 -2.681 8.82 200
-2.937 -1.537 9.639 199
-3.742 0.217 10.254 200
0.141 -0.323 9.84 201
2.518 -2.832 8.614 198
-0.136 -3.687 8.09 200
-3.277 -3.529 8.039 200
-3.775 -1.527 8.604 202
-2.755 -0.215 9.469 200
0.907 -1.711 7.812 200
0.881 -4.661 7.07 200
-2.808 -4.967 6.402 198
-2.978 -3.727 5.214 201
-4.242 -1.422 6.607 200
-0.811 0.531 7.623 201
4.053 -1.031 7.443 200
0.505 -3.711 7.467 200
-3.196 -4.103 7.326 198
-6.612 -3.32 6.21 199
-6.203 -2.834 7.431 203
-2.437 -0.818 8.022 201
-1.81 -0.73 7.69 200
-0.699 0.699 8.813 199
-0.624 1.541 7.623 200
-4.273 2.712 7.805 200
-3.062 5.001 6.196 201
-2.03 3.28 6.112 199
-0.866 3.529 5.533 200
-1.587 2.638 6.107 198
-2.724 2.98 7.668 200
-4.853 4.302 7.304 208
-9.169 4.671 8.743 195
-4.656 5.329 7.896 199
-2.312 3.775 8.18 200
-2.683 5.731 5.695 201
-2.652 5.568 4.168 199
-2.667 6.028 4.362 199
-2.3 5.19 6.754 202
-0.193 2.949 9.737 198
-2.71 4.299 9.591 203
-4.759 4.17 9.935 198
-1.498 4.276 7.503 199
0.811 3.021 6.888 200
-0.162 4.888 5.746 201
-1.92 5.231 3.912 200
-5.518 5.516 3.897 197
-3.651 6.584 4.343 200
-1.01 3.653 4.721 200
-1.06 4.888 5.489 200
-1.11 6.428 4.39 200
-4.836 6.988 2.358 200
1.158 6.801 2.035 200
0.196 4.989 2.964 200
-3.009 4.606 2.552 201
-4.086 4.07 3.904 203
-8.451 4.594 7.015 200
-2.082 4.951 5.451 199
0.553 3.33 6.54 201
-0.217 3.612 6.957 200
-2.288 4.601 6.215 200
-6.153 4.465 7.448 200
-2.322 4.893 6.447 200
-1.41 4.589 5.688 200
-2.477 5.683 3.49 199
-2.741 6.095 3.55 207
-2.772 5.906 2.952 202
-0.248 5.032 3.088 201
0.782 4.077 4.999 201
0.912 4.331 5.635 199
-2.583 5.018 7.58 199
-5.099 6.011 8.441 202
-3.916 4.656 8.801 199
-3.569 3.296 8.422 201
-3.385 2.312 8.128 198
-0.866 0.311 7.879 201
-2.698 -2.451 7.252 201
-4.534 -4.151 6.588 199
-5.834 -4.611 5.844 200
-6.986 -2.573 5.978 202
-3.435 -0.045 6.394 204
0.651 0.845 6.476 205
4.355 -0.893 6.569 199
2.671 -4.065 5.93 202
-1.91 -5.521 6.849 197
-3.605 -4.086 6.758 202
-5.056 -2.006 7.872 200
-1.678 0.474 8.42 197
3.921 -0.541 6.452 201
1.527 -4.264 7.85 201
-0.916 -5.231 8.099 200
-1.697 -4.838 7.029 204
-3.545 -2.308 8.461 196
0.086 0.158 7.795 200
4.266 -0.763 6.797 206
1.946 -3.77 7.029 204
-1.448 -4.644 7.601 203
-1.276 -3.579 7.0 198
-3.234 -1.908 7.845 200
-0.646 0.035 8.722 197
3.909 -1.596 7.132 204
-0.277 -4.934 8.075 198
-3.445 -4.951 7.632 201
-4.077 -3.313 8.623 199
-4.975 -1.118 9.495 199
-0.933 0.241 9.198 201
3.842 -1.35 8.487 201
0.495 -4.711 7.685 198
-3.488 -5.396 8.066 200
-4.632 -3.069 8.58 201
-5.54 -1.453 9.579 200
-1.027 -0.749 8.595 201
3.541 -2.255 7.144 198
0.756 -4.85 7.501 201
-3.588 -5.19 7.213 201
-5.231 -3.045 9.114 198
-5.683 -1.175 10.431 202
-1.06 -0.555 9.1 197
2.964 -2.396 7.927 203
-0.112 -3.773 7.946 199
-1.637 -2.806 5.705 201
-3.512 -1.383 6.78 205
