# Accelerometer Data File
# 
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
3.955 6.457 5.808 0.000
4.024 6.533 5.621 9.000
4.034 6.557 5.552 10.000
3.998 6.627 5.492 11.000
3.981 6.540 5.580 9.000
4.065 6.459 5.578 10.000
4.209 6.430 5.458 10.000
4.388 6.394 5.377 10.000
4.520 6.339 5.406 11.000
4.551 6.279 5.525 9.000
4.637 6.138 5.717 10.000
4.687 6.004 5.870 10.000
4.805 5.887 5.997 10.000
4.912 5.762 6.177 11.000
4.965 5.719 6.284 9.000
5.001 5.676 6.507 10.000
4.975 5.669 6.675 10.000
4.900 5.604 6.933 10.000
4.838 5.420 7.273 11.000
4.793 5.236 7.498 9.000
4.745 4.939 7.752 10.000
4.788 4.594 7.845 10.000
4.819 4.369 7.857 10.000
4.465 3.852 7.817 11.000
4.113 3.447 7.747 9.000
3.526 2.949 7.802 10.000
2.916 2.552 8.087 10.000
2.691 2.446 8.425 10.000
2.578 2.583 8.925 11.000
2.667 2.925 9.318 9.000
3.076 3.265 9.490 10.000
3.722 3.651 9.536 10.000
4.256 3.794 9.418 11.000
4.900 3.986 9.145 10.000
5.183 4.146 8.887 10.000
5.228 4.261 8.755 10.000
5.104 4.345 8.643 10.000
4.869 4.381 8.686 10.000
4.637 4.326 8.755 10.000
4.436 4.299 8.813 10.000
4.405 4.304 8.851 10.000
4.371 4.333 8.817 10.000
4.400 4.386 8.734 10.000
4.326 4.390 8.714 10.000
4.134 4.369 8.760 10.000
3.945 4.323 8.877 10.000
3.648 4.261 9.014 10.000
3.342 4.173 8.973 10.000
3.153 4.110 8.868 10.000
2.870 4.010 8.671 10.000
2.695 3.926 8.456 10.000
2.482 3.921 8.303 10.000
2.178 3.991 8.078 10.000
1.968 4.098 7.943 10.000
1.663 4.319 7.635 10.000
1.479 4.505 7.388 10.000
1.331 4.774 7.086 10.000
1.067 5.176 6.842 10.000
0.897 5.465 6.773 10.000
0.560 5.868 6.713 10.000
0.126 6.212 6.754 10.000
-0.191 6.423 6.737 10.000
-0.574 6.734 6.710 10.000
-0.790 6.933 6.675 10.000
-0.897 7.108 6.600 9.000
-1.015 7.323 6.459 10.000
-1.067 7.438 6.327 10.000
-1.096 7.611 6.217 10.000
-1.082 7.709 6.172 11.000
-1.127 7.802 6.268 9.000
-1.221 7.841 6.392 10.000
-1.338 7.821 6.495 10.000
-1.426 7.706 6.550 10.000
-1.446 7.556 6.531 11.000
-1.412 7.335 6.347 9.000
-1.352 7.079 6.088 10.000
-1.321 6.919 5.877 10.000
-1.242 6.799 5.643 10.000
-1.156 6.813 5.549 11.000
-1.096 6.864 5.530 9.000
-1.096 6.926 5.554 10.000
-1.144 6.947 5.602 11.000
-1.235 7.010 5.616 9.000
-1.319 7.113 5.580 11.000
-1.343 7.204 5.501 10.000
-1.395 7.278 5.434 9.000
-1.417 7.302 5.396 11.000
-1.541 7.273 5.415 9.000
-1.824 7.261 5.461 11.000
-2.078 7.266 5.494 9.000
-2.377 7.216 5.511 10.000
-2.561 7.084 5.506 10.000
-2.588 6.936 5.475 10.000
-2.597 6.876 5.386 11.000
-2.561 6.871 5.315 9.000
-2.523 7.074 5.193 10.000
-2.442 7.287 5.097 10.000
-2.377 7.412 5.058 10.000
-2.305 7.474 5.042 11.000
-2.255 7.422 5.090 9.000
-2.267 7.230 5.037 10.000
-2.293 7.019 4.946 10.000
-2.327 6.871 4.833 10.000
-2.434 6.816 4.829 11.000
-2.602 6.849 4.994 10.000
-2.755 6.902 5.197 10.000
-2.923 6.825 5.377 10.000
-3.016 6.655 5.449 10.000
-2.995 6.495 5.324 10.000
-2.954 6.366 5.286 10.000
-2.899 6.366 5.272 10.000
-2.949 6.366 5.339 10.000
-3.035 6.397 5.506 10.000
-3.303 6.485 5.588 10.000
-3.722 6.622 5.662 10.000
-4.036 6.758 5.655 10.000
-4.541 6.794 5.748 10.000
-5.008 6.742 5.990 10.000
-5.324 6.641 6.239 10.000
-5.714 6.466 6.567 10.000
-5.913 6.392 6.794 10.000
-6.009 6.275 6.979 10.000
-6.191 6.200 7.220 10.000
-6.299 6.200 7.383 10.000
-6.380 6.117 7.551 10.000
-6.440 6.076 7.613 10.000
-6.299 5.841 7.486 10.000
-6.198 5.442 7.457 10.000
-6.124 5.125 7.424 10.000
-6.282 4.733 7.371 10.000
-6.442 4.505 7.383 10.000
-6.562 4.443 7.297 10.000
-6.859 4.278 7.149 10.000
-6.924 4.189 7.019 10.000
-7.000 3.981 6.888 10.000
