# Accelerometer Data File
# Started @Mon Apr 26 10:24:56 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
3.349 7.699 4.465 0
3.265 7.675 4.572 9
3.359 7.692 4.68 10
3.414 7.718 4.783 10
3.469 7.757 4.635 10
3.442 7.797 4.687 11
3.387 7.795 4.934 9
3.371 7.783 5.185 11
3.464 7.747 5.427 9
3.639 7.709 5.468 10
3.78 7.682 5.525 10
3.952 7.659 5.643 10
4.015 7.659 5.77 10
4.141 7.577 5.863 10
4.237 7.498 5.889 10
4.374 7.378 5.791 10
4.534 7.271 5.758 10
4.63 7.244 5.758 10
4.695 7.268 5.861 10
4.642 7.414 6.126 10
4.565 7.548 6.327 10
4.465 7.632 6.651 10
4.395 7.666 6.871 10
4.426 7.398 6.943 10
4.544 6.842 6.924 10
4.685 6.337 6.782 11
4.604 5.468 6.801 9
4.467 4.817 6.871 10
4.022 3.921 7.295 10
3.55 3.093 7.673 10
3.301 2.628 7.891 10
3.055 2.846 8.07 10
3.165 3.907 7.905 10
3.301 4.9 7.785 10
3.488 5.743 7.618 10
3.672 5.904 7.489 10
3.648 5.504 7.486 10
3.538 5.094 7.496 10
3.378 4.836 7.553 10
3.167 4.671 7.613 10
3.031 4.754 7.627 10
2.952 4.855 7.661 10
2.832 5.027 7.663 11
2.762 5.106 7.663 9
2.65 5.394 7.642 10
2.48 5.849 7.56 10
2.351 6.232 7.51 10
2.085 6.708 7.4 10
1.862 6.976 7.311 10
1.618 7.115 7.177 10
1.278 7.268 6.931 11
1.074 7.328 6.744 9
0.737 7.347 6.469 10
0.507 7.321 6.268 10
0.196 7.237 6.145 10
-0.292 7.141 5.987 10
-0.646 7.086 5.918 10
-1.137 7.024 5.755 10
-1.527 7.015 5.511 10
-1.74 7.017 5.303 10
-2.039 6.981 4.999 11
-2.202 6.952 4.788 9
-2.274 6.878 4.599 10
-2.31 6.763 4.304 10
-2.26 6.687 4.106 10
-2.166 6.574 3.828 10
-2.087 6.497 3.643 10
-2.059 6.5 3.634 10
-2.08 6.533 3.763 10
-2.145 6.603 3.971 10
-2.233 6.627 4.335 11
-2.308 6.612 4.63 9
-2.324 6.481 4.927 10
-2.336 6.337 5.284 10
-2.324 6.239 5.485 10
-2.248 6.32 5.674 10
-2.109 6.648 5.743 11
-1.975 6.988 5.753 9
-1.862 7.316 5.853 10
-1.814 7.465 5.966 10
-1.912 7.381 6.102 10
-1.963 7.381 6.234 10
-1.991 7.393 6.275 10
-2.001 7.558 6.208 10
-1.91 7.886 6.028 11
-1.867 8.13 5.853 9
-1.841 8.36 5.65 10
-1.833 8.437 5.554 10
-1.9 8.415 5.521 10
-2.09 8.384 5.501 10
-2.262 8.367 5.511 11
-2.497 8.293 5.461 9
-2.681 8.226 5.415 10
-2.695 8.111 5.233 10
-2.676 7.977 4.955 10
-2.595 7.9 4.738 11
-2.516 7.879 4.51 9
-2.485 7.915 4.405 10
-2.466 8.018 4.35 10
-2.403 8.176 4.335 10
-2.339 8.279 4.331 10
-2.269 8.456 4.479 10
-2.25 8.633 4.845 10
-2.274 8.755 5.171 10
-2.334 8.796 5.556 10
-2.398 8.762 5.789 10
-2.403 8.564 5.837 10
-2.348 8.274 5.892 12
-2.257 8.066 5.887 8
-2.212 7.812 5.935 10
-2.197 7.675 5.995 10
-2.327 7.635 6.086 11
-2.525 7.671 6.236 13
-2.679 7.752 6.335 6
-2.894 7.903 6.485 10
-3.057 8.101 6.615 12
-3.15 8.224 6.684 12
-3.236 8.429 6.77 6
-3.26 8.566 6.804 10
-3.28 8.645 6.809 11
-3.339 8.633 6.782 12
-3.406 8.537 6.739 7
-3.43 8.362 6.667 10
-3.428 8.192 6.607 10
-3.399 8.118 6.497 11
-3.387 8.113 6.239 10
-3.418 8.188 6.009 9
-3.399 8.283 5.676 10
-3.354 8.245 5.351 10
-3.292 8.137 5.173 10
-3.263 7.838 4.929 10
-3.284 7.517 4.788 11
-3.383 7.228 4.714 10
-3.49 6.816 4.663 10
-3.564 6.596 4.68 9
-3.758 6.222 4.728 10
-3.888 5.947 4.783 10
-4.084 5.671 4.769 11
-4.331 5.41 4.754 9
-4.458 5.303 4.709 10
-4.735 5.26 4.599 10
-4.987 5.461 4.431 10
-5.188 5.647 4.264 10
-5.477 5.899 4.089 10
-5.616 6.086 3.979 10
-5.894 6.258 3.948 11
-6.074 6.579 3.876 9
-6.165 6.835 3.811 13
-6.229 7.01 3.766 7
-6.105 7.077 3.744 10
-6.093 6.928 3.713 11
-5.928 6.873 3.572 9
-5.597 6.933 3.335 14
-5.267 6.993 3.098 6
-4.975 7.007 3.033 10
-4.836 6.928 3.078 11
-4.97 6.797 3.248 9
-5.104 6.665 3.418 10
-5.116 6.71 3.5 10
-5.204 6.675 3.505 10
-5.212 6.658 3.462 11
-5.193 6.648 3.411 9
-5.243 6.574 3.327 10
-5.171 6.708 3.411 10
-5.209 6.763 3.677 10
-5.274 6.811 3.95 10
-5.748 6.71 4.417 10
-6.452 6.572 4.982 12
-7.046 6.512 5.365 8
-7.91 6.478 5.868 10
-8.365 6.593 6.177 10
-8.588 6.856 6.248 10
-8.741 7.4 6.354 11
-8.623 7.917 6.339 9
-8.42 8.101 6.38 12
-8.121 7.568 6.751 12
-7.891 6.754 7.089 10
-7.671 5.822 7.656 6
-7.536 5.224 8.169 10
-7.651 5.106 8.674 10
-7.766 4.989 9.179 11
-7.196 5.427 9.569 9
-5.87 6.038 10.05 10
-4.438 6.648 10.256 10
-2.564 6.876 10.137 11
-1.247 6.208 9.665 9
-0.687 5.367 9.102 10
-0.344 3.572 8.655 10
-0.445 2.159 8.532 10
-0.916 1.046 8.817 10
-1.367 -0.215 8.528 11
-1.599 -0.521 8.123 9
-1.742 -1.541 8.02 10
-1.632 -2.403 7.747 10
-1.268 -3.222 8.101 10
-0.409 -3.969 8.377 11
0.361 -4.003 8.35 9
1.326 -3.756 8.233 10
2.099 -2.813 8.051 10
2.377 -1.941 7.948 10
2.264 -0.761 7.79 11
1.958 0.138 7.723 9
1.465 0.545 7.69 10
0.998 0.945 7.539 10
0.921 1.036 7.443 10
0.979 1.204 7.417 10
1.139 1.273 7.369 10
1.213 1.367 7.527 10
1.106 1.259 7.91 10
0.864 1.074 8.224 10
0.854 0.804 8.58 10
0.857 0.538 8.848 10
1.041 0.474 8.892 10
1.338 0.311 8.939 10
1.403 0.234 8.944 10
1.467 -0.009 8.906 10
1.668 -0.193 8.839 10
1.757 -0.28 8.767 10
2.015 -0.244 8.781 10
2.322 -0.062 8.839 10
2.36 -0.026 9.004 13
2.351 -0.043 9.212 7
2.171 -0.181 9.334 10
1.98 -0.347 9.5 10
1.821 -0.447 9.639 10
1.711 -0.495 9.734 11
1.654 -0.459 9.655 9
1.608 -0.397 9.533 10
1.963 -0.328 9.414 10
2.276 -0.337 9.291 10
2.537 -0.43 9.344 14
2.746 -0.375 9.37 6
2.652 -0.306 9.342 10
2.466 -0.074 9.363 11
2.375 0.16 9.339 13
2.336 0.246 9.342 7
2.535 0.287 9.473 9
2.918 0.215 9.493 10
3.205 0.141 9.557 13
3.509 0.136 9.71 7
3.576 0.177 9.734 11
3.524 0.342 9.828 9
3.533 0.495 10.012 11
3.526 0.579 10.108 9
3.557 0.715 10.304 10
3.658 0.756 10.496 11
3.706 0.766 10.498 9
3.902 0.775 10.362 10
4.06 0.732 10.125 10
4.283 0.744 9.957 10
4.338 0.665 9.995 11
4.244 0.586 10.172 9
4.024 0.596 10.328 10
3.739 0.55 10.414 10
3.591 0.758 10.297 10
3.541 1.005 10.093 11
3.617 1.163 9.911 9
3.725 1.285 9.636 10
3.854 1.288 9.457 10
3.869 1.187 9.26 10
3.974 1.132 8.942 10
4.048 1.113 8.717 10
4.211 1.154 8.432 10
4.39 1.259 8.25 10
4.58 1.371 8.128 10
4.848 1.35 7.943 14
5.027 1.268 7.819 6
5.291 1.163 7.706 10
5.446 1.053 7.675 10
5.523 1.077 7.706 10
5.65 1.074 7.704 11
5.693 1.096 7.69 9
5.928 1.182 7.687 10
6.22 1.233 7.69 10
6.461 1.309 7.726 14
6.701 1.343 7.855 7
6.756 1.264 7.953 9
6.845 1.177 8.037 20
6.933 1.091 8.121 10
7.18 1.048 7.967 11
7.462 0.993 7.632 9
7.654 0.981 7.307 10
7.864 0.881 6.842 10
7.92 0.78 6.521 10
7.845 0.572 6.153 11
7.654 0.356 5.726 9
7.443 0.229 5.439 10
7.232 0.217 5.111 13
7.115 0.325 5.013 7
7.062 0.356 4.97 11
6.976 0.275 4.812 9
6.883 0.09 4.587 14
6.789 -0.093 4.362 6
6.72 -0.256 4.05 10
6.684 -0.306 3.854 11
6.622 -0.397 3.725 9
6.56 -0.488 3.596 10
6.449 -0.514 3.536 20
6.339 -0.541 3.476 11
6.196 -0.612 3.514 19
5.944 -0.72 3.641 10
5.707 -0.79 4.01 10
5.398 -0.823 4.582 23
5.14 -0.792 5.233 7
4.989 -0.725 5.796 10
4.879 -0.727 6.284 10
4.802 -0.684 6.651 13
4.742 -0.632 6.88 7
4.675 -0.426 7.153 10
4.63 -0.191 7.278 10
4.649 0.107 7.311 11
4.668 0.407 7.345 10
4.714 0.608 7.299 9
4.747 0.835 7.242 10
4.754 0.916 7.194 10
4.695 0.924 7.175 13
4.544 0.78 7.201 8
4.405 0.61 7.24 9
4.218 0.442 7.271 10
4.098 0.349 7.273 10
3.94 0.342 7.268 10
3.675 0.32 7.333 11
3.457 0.296 7.405 9
3.134 0.222 7.505 10
2.92 0.158 7.603 10
2.626 0.062 7.721 10
2.19 -0.067 7.934 11
1.86 -0.146 8.118 9
1.434 -0.22 8.374 10
1.07 -0.181 8.652 10
0.847 -0.11 8.834 11
0.466 0.081 9.136 10
0.181 0.268 9.366 10
-0.129 0.507 9.526 10
-0.366 0.809 9.662 10
-0.445 0.991 9.679 10
-0.416 1.173 9.742 10
-0.234 1.235 9.763 10
-0.11 1.28 9.832 10
0.088 1.52 9.895 10
0.179 1.759 9.911 10
0.375 2.217 9.931 10
0.536 2.681 9.84 10
0.622 2.952 9.756 10
0.596 3.186 9.574 10
0.464 3.203 9.39 10
0.107 3.138 9.303 10
-0.553 3.145 9.313 11
-1.101 3.189 9.421 9
-1.869 3.354 9.655 10
-2.394 3.548 9.878 10
-2.77 3.727 10.084 11
-3.184 3.878 10.371 8
-3.378 3.907 10.532 10
-3.679 4.07 10.714 10
-3.825 4.175 10.817 10
-4.012 4.383 10.977 11
-4.204 4.675 11.168 9
-4.288 4.833 11.338 10
-4.417 4.939 11.623 10
-4.338 4.97 11.865 10
-4.254 4.917 12.076 11
-3.89 4.831 12.217 9
-3.481 4.797 12.243 10
-2.98 4.771 12.205 10
-2.492 4.797 12.105 10
-2.284 4.857 12.073 14
-2.13 4.625 11.949 6
-2.197 4.386 11.793 10
-2.231 4.455 11.628 10
-2.329 4.625 11.353 12
-2.372 5.087 11.171 9
-2.36 5.418 10.896 9
-2.114 5.437 10.436 10
-1.802 5.355 10.086 11
-1.335 5.379 9.66 13
-0.924 5.535 9.327 6
-0.837 5.679 9.141 10
-1.11 5.805 8.822 10
-1.539 5.827 8.58 13
-2.106 5.959 8.252 7
-2.604 6.052 8.034 11
-2.736 6.102 8.01 9
-2.875 6.253 8.07 11
-2.875 6.294 8.216 9
-2.808 6.409 8.42 10
-2.77 6.438 8.487 11
-2.724 6.366 8.47 9
-2.331 6.174 8.111 13
-2.006 5.908 7.694 7
-1.465 5.497 7.419 10
-1.151 4.838 7.287 11
-1.185 4.299 7.498 10
-1.125 3.892 7.778 9
-1.259 3.778 7.991 10
-1.333 3.948 8.19 10
-1.431 4.115 8.41 11
-1.623 4.151 8.561 9
-1.726 4.12 8.69 10
-1.515 4.007 8.643 10
-1.28 3.897 8.573 10
-1.031 3.785 8.418 10
-0.871 3.739 8.283 10
-0.761 3.696 8.216 10
-0.636 3.687 8.264 10
-0.526 3.679 8.398 10
-0.416 3.624 8.535 12
-0.402 3.61 8.652 8
-0.402 3.687 8.726 10
-0.22 3.792 8.655 10
-0.038 3.945 8.58 10
0.574 4.005 8.398 11
1.424 3.675 8.068 9
2.092 3.315 7.884 10
2.959 2.571 7.757 10
3.394 1.92 7.738 10
3.665 0.962 7.869 10
4.065 -0.162 8.001 10
4.266 -0.902 8.075 10
4.548 -1.572 8.245 10
4.759 -1.671 8.341 10
4.924 -1.118 8.437 11
5.329 -0.191 8.334 9
5.652 0.665 8.135 10
5.748 1.467 8.178 10
5.394 1.388 8.169 14
4.8 0.936 8.358 7
4.019 0.363 8.451 9
3.466 -0.153 8.303 10
3.315 -0.143 8.176 13
3.258 -0.304 8.08 7
3.387 -0.344 8.08 11
3.5 -0.428 8.149 9
3.576 -0.641 8.25 11
3.368 -0.691 8.501 19
3.16 -0.742 8.753 11
2.937 -0.797 9.011 10
2.822 -0.708 9.205 10
2.899 -0.612 9.217 10
2.762 -0.143 9.579 10
2.657 0.373 9.864 10
2.193 0.912 10.156 11
1.872 1.278 10.268 9
1.764 1.271 10.031 10
1.714 1.022 9.789 10
1.915 0.608 9.605 10
1.994 0.258 9.586 12
2.14 0.095 9.526 8
2.229 0.174 9.471 10
2.346 0.339 9.375 10
2.444 0.462 9.315 10
2.475 0.397 9.296 13
2.537 0.153 9.239 7
2.571 -0.177 9.222 10
2.559 -0.239 9.085 10
2.772 -0.27 8.662 10
2.954 -0.122 8.276 10
2.971 0.507 8.422 10
3.031 1.019 8.667 10
2.585 1.644 9.1 11
1.968 1.898 9.318 9
1.515 1.671 9.004 10
1.094 1.276 8.439 10
0.952 0.737 7.972 10
0.766 0.656 7.924 12
0.232 0.375 8.125 8
-0.332 0.263 8.578 10
-0.667 0.306 8.832 10
-0.675 0.205 9.241 10
-0.335 0.304 9.402 10
-0.392 0.442 9.698 10
-0.679 0.426 10.194 10
-1.278 0.39 10.321 11
-1.798 0.49 10.596 12
-1.92 0.55 10.735 7
-1.903 0.799 10.718 10
-1.685 1.125 10.711 10
-1.285 1.17 10.441 12
-0.766 1.12 10.158 8
-0.385 0.881 10.031 10
-0.387 0.457 9.897 10
-0.763 -0.076 9.907 11
-1.259 -0.514 9.928 12
-1.783 -1.086 9.94 7
-1.924 -1.474 9.959 10
-2.082 -1.651 9.866 10
-2.339 -1.776 9.739 12
