# Accelerometer Data File
# 
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
3.737 6.536 5.832 0.000
3.780 6.540 6.160 10.000
3.766 6.524 6.521 10.000
3.761 6.483 6.821 10.000
3.737 6.421 6.677 9.000
3.711 6.382 6.531 11.000
3.691 6.335 6.277 10.000
3.699 6.294 6.009 9.000
3.742 6.268 5.825 10.000
3.833 6.157 5.664 10.000
3.916 6.057 5.612 10.000
4.029 5.825 5.655 11.000
4.156 5.408 5.724 10.000
4.235 5.075 5.770 9.000
4.276 4.565 5.940 10.000
4.252 4.204 6.090 10.000
4.125 3.835 6.373 11.000
3.974 3.289 6.687 9.000
3.861 2.920 6.876 10.000
3.828 2.528 6.943 10.000
3.974 2.358 6.720 10.000
4.144 2.365 6.466 11.000
4.307 2.319 6.339 9.000
4.390 2.298 6.335 10.000
4.369 2.245 6.663 11.000
4.455 2.336 7.055 10.000
4.548 2.480 7.321 10.000
4.723 2.794 7.630 10.000
4.912 3.107 7.738 10.000
4.984 3.392 7.785 10.000
4.972 3.722 7.864 10.000
4.879 3.883 7.900 10.000
4.623 3.988 8.094 10.000
4.323 4.010 8.410 10.000
4.108 3.986 8.695 10.000
3.940 4.022 8.963 10.000
3.936 4.113 9.074 10.000
3.979 4.259 9.052 10.000
3.960 4.417 9.078 11.000
3.892 4.515 9.121 9.000
3.641 4.616 9.320 9.000
3.394 4.630 9.524 11.000
3.102 4.711 9.648 9.000
2.774 4.872 9.603 11.000
2.631 5.030 9.402 10.000
2.375 5.219 8.968 9.000
2.102 5.327 8.415 11.000
1.865 5.355 8.032 9.000
1.556 5.248 7.627 11.000
1.359 5.109 7.455 9.000
1.197 4.869 7.426 10.000
0.924 4.623 7.343 11.000
0.723 4.513 7.280 9.000
0.426 4.486 7.101 10.000
0.220 4.563 6.928 10.000
0.138 4.764 6.581 10.000
0.033 5.032 6.126 11.000
0.023 5.216 5.789 9.000
-0.158 5.408 5.461 10.000
-0.557 5.511 5.458 10.000
-0.933 5.547 5.564 11.000
-1.335 5.662 5.693 10.000
-1.565 5.770 5.813 10.000
-1.570 5.963 5.872 10.000
-1.556 6.263 5.920 10.000
-1.515 6.483 5.944 10.000
-1.249 6.794 6.030 10.000
-1.005 6.991 6.081 10.000
-0.814 7.015 6.227 10.000
-0.703 7.077 6.572 10.000
-0.770 7.072 6.998 13.000
-0.837 7.067 7.424 7.000
-0.861 7.120 7.836 10.000
-0.804 7.134 8.049 10.000
-0.907 7.091 8.236 12.000
-1.010 7.048 8.422 12.000
-1.144 7.022 8.525 6.000
-1.158 7.084 8.477 10.000
-1.060 7.180 8.312 10.000
-0.902 7.354 8.018 14.000
-0.723 7.522 7.738 6.000
-0.715 7.606 7.584 10.000
-0.869 7.620 7.422 10.000
-1.082 7.556 7.388 12.000
-1.438 7.524 7.316 11.000
-1.860 7.524 7.271 7.000
-2.121 7.594 7.235 10.000
-2.365 7.666 7.199 11.000
-2.458 7.673 7.053 12.000
-2.434 7.644 6.904 7.000
-2.454 7.876 6.677 10.000
-2.489 8.106 6.449 10.000
-2.726 8.312 6.476 12.000
-2.964 8.518 6.502 8.000
-2.880 8.628 6.390 9.000
-2.437 8.810 6.256 10.000
-1.800 9.047 6.016 11.000
-1.082 9.239 5.681 13.000
-0.641 9.265 5.564 6.000
-0.567 9.188 5.513 12.000
-0.497 8.990 5.468 8.000
-0.509 8.836 5.518 13.000
-0.483 8.583 5.602 7.000
-0.469 8.243 5.698 10.000
-0.450 8.025 5.789 10.000
-0.490 7.728 5.961 11.000
-0.684 7.536 6.098 13.000
-0.859 7.462 6.177 6.000
-1.139 7.398 6.277 10.000
-1.359 7.412 6.296 11.000
-1.489 7.455 6.370 12.000
-1.618 7.498 6.445 8.000
-1.592 7.589 6.536 10.000
-1.493 7.754 6.517 10.000
-1.371 7.886 6.445 10.000
-1.273 8.092 6.330 13.000
-1.264 8.329 6.191 7.000
-1.326 8.492 6.162 10.000
-1.403 8.789 6.136 10.000
-1.541 9.105 6.289 12.000
