# Accelerometer Data File
# 
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
4.570 6.241 6.007 0.000
4.668 6.112 6.076 9.000
4.766 5.983 6.145 10.000
4.927 5.719 6.157 10.000
5.070 5.523 6.232 10.000
5.181 5.382 6.277 11.000
5.331 4.987 6.303 19.000
5.415 4.654 6.368 10.000
5.511 4.453 6.265 10.000
5.607 4.252 6.162 10.000
5.200 4.177 6.186 20.000
4.793 4.103 6.210 10.000
4.074 3.830 6.540 10.000
3.356 3.557 6.871 10.000
2.913 3.421 7.225 10.000
2.197 3.071 7.556 10.000
1.738 2.868 7.663 10.000
1.295 2.403 7.843 11.000
1.429 1.893 7.872 9.000
1.836 1.596 7.924 10.000
2.499 1.376 7.716 10.000
3.145 1.417 7.436 10.000
3.572 1.498 7.117 10.000
4.237 1.561 6.833 10.000
4.647 1.546 6.809 10.000
5.327 1.486 6.845 10.000
5.837 1.422 6.938 10.000
6.083 1.321 7.139 10.000
6.236 1.280 7.402 11.000
6.119 1.285 7.606 10.000
6.062 1.458 7.910 10.000
5.978 1.731 8.101 10.000
5.987 1.944 8.231 10.000
5.901 2.231 8.508 10.000
5.755 2.351 8.686 10.000
5.738 2.655 8.700 10.000
5.868 3.114 8.576 10.000
6.093 3.500 8.303 10.000
6.086 4.050 7.934 10.000
5.999 4.371 7.699 10.000
5.590 4.642 7.460 10.000
5.214 5.133 7.184 20.000
4.922 5.707 7.010 10.000
4.209 6.363 6.955 10.000
3.672 6.914 7.043 10.000
2.808 7.338 7.237 10.000
2.092 7.513 7.426 10.000
1.745 7.721 7.433 10.000
1.429 7.941 7.407 10.000
1.407 8.068 7.311 10.000
1.256 8.116 7.177 10.000
1.158 8.049 7.105 10.000
0.837 7.999 7.038 10.000
0.476 8.044 7.022 10.000
0.244 8.169 7.043 10.000
0.009 8.389 7.034 10.000
0.016 8.626 7.007 20.000
0.057 8.793 6.890 10.000
0.098 8.961 6.773 10.000
0.215 9.064 6.605 10.000
0.328 9.023 6.406 10.000
0.447 8.956 6.248 10.000
0.703 8.786 6.042 10.000
0.885 8.585 5.918 10.000
