# Accelerometer Data File
# Started @Fri Apr 23 12:37:41 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
5.415 7.345 2.25 0
5.408 7.335 2.25 10
5.422 7.347 2.226 20
5.379 7.323 2.238 9
5.439 7.326 2.269 10
5.489 7.326 2.188 10
5.501 7.335 2.102 10
5.374 7.311 2.042 10
5.295 7.295 2.044 10
5.233 7.268 2.145 10
5.233 7.213 2.226 10
5.269 7.292 2.291 20
5.384 7.4 2.312 10
5.499 7.508 2.334 10
5.48 7.582 2.375 10
5.516 7.522 2.513 10
5.425 7.426 2.633 10
5.583 7.319 2.557 10
5.813 7.273 2.48 10
6.078 7.297 2.363 11
6.102 7.352 2.427 19
5.832 7.448 2.655 10
5.726 7.477 2.743 20
5.513 7.426 2.715 10
5.542 7.345 2.504 10
5.556 7.343 2.339 10
5.343 7.474 2.353 11
5.221 7.649 2.406 10
5.104 7.623 2.633 10
5.046 7.489 2.849 9
4.932 7.11 3.093 10
5.092 6.792 3.236 11
5.248 6.675 3.205 9
5.3 6.311 3.179 11
4.757 5.6 3.098 20
3.79 4.776 3.428 10
3.193 4.484 3.624 20
2.791 5.133 3.687 10
3.105 6.306 3.734 10
3.275 7.711 3.576 10
3.074 8.585 3.552 10
2.817 8.743 3.665 10
2.87 9.03 3.562 9
3.215 9.138 3.354 11
3.78 9.363 2.829 10
4.309 9.61 2.298 10
4.352 9.689 1.98 10
4.244 9.706 1.843 20
3.679 9.514 2.207 10
3.016 9.246 2.877 10
2.53 9.016 3.55 10
2.382 8.784 4.118 10
2.47 8.643 4.501 10
3.083 8.561 4.434 10
3.833 8.501 4.51 20
4.302 8.396 4.917 10
4.771 8.291 5.324 10
4.747 8.015 5.918 10
4.659 7.661 6.253 10
4.663 7.417 6.181 10
4.556 7.153 6.258 10
4.426 6.926 6.897 10
4.225 6.756 7.651 10
4.187 6.275 8.942 10
4.261 5.813 10.084 10
4.721 5.257 10.251 10
3.921 4.129 10.788 10
2.959 3.313 10.788 10
1.723 2.296 10.599 10
0.191 1.522 10.778 10
0.076 1.271 10.541 10
0.165 0.845 10.366 10
0.526 0.62 10.381 10
1.338 0.189 10.359 10
2.339 -0.421 10.05 10
3.136 -0.857 9.679 10
4.232 -1.467 8.947 10
4.879 -1.872 8.25 10
5.355 -2.111 7.618 10
5.743 -2.334 6.868 10
5.832 -2.382 6.481 10
5.841 -2.276 6.265 10
5.674 -2.106 6.32 10
5.525 -1.75 6.725 10
5.14 -1.237 7.199 10
4.833 -0.878 7.501 10
4.491 -0.533 7.888 10
4.086 -0.502 8.051 10
3.919 -0.627 8.145 10
3.756 -0.763 8.212 10
3.629 -0.885 8.192 10
3.435 -0.852 8.379 10
3.05 -0.708 8.784 10
2.659 -0.553 9.215 10
2.145 -0.363 9.698 10
1.829 -0.22 9.969 10
1.651 -0.213 9.883 10
1.527 -0.21 9.581 10
1.527 -0.241 9.227 10
1.606 -0.229 8.729 10
1.711 -0.169 8.406 10
1.764 -0.105 8.298 10
1.709 -0.045 8.104 10
1.575 -0.028 8.054 10
1.331 -0.215 8.07 10
0.998 -0.6 8.202 10
0.773 -0.981 8.42 10
0.706 -1.4 8.525 20
1.067 -1.522 8.451 10
1.51 -1.367 8.073 10
1.953 -1.211 7.694 10
2.128 -1.003 7.431 10
2.164 -0.881 7.249 10
2.207 -0.837 7.256 10
2.26 -0.785 7.232 10
2.422 -0.746 7.206 10
2.343 -0.66 7.189 10
2.126 -0.447 7.378 10
1.898 -0.244 7.599 10
1.685 0.071 7.819 10
1.45 0.22 8.082 20
1.321 0.138 8.255 10
1.192 0.057 8.427 10
0.995 -0.122 8.719 10
0.909 -0.21 8.954 10
0.988 -0.134 9.097 10
1.091 -0.064 9.236 10
1.247 -0.009 9.255 10
1.462 0.043 9.306 10
1.587 0.028 9.344 10
1.687 0.021 9.387 10
1.766 0.028 9.478 10
1.786 0.038 9.538 10
1.75 0.088 9.622 10
1.618 0.162 9.694 10
1.508 0.222 9.718 10
1.405 0.347 9.787 10
1.316 0.435 9.821 10
1.295 0.572 9.864 10
1.264 0.842 9.902 10
1.225 1.048 9.895 10
1.077 1.309 9.907 10
0.909 1.393 9.988 10
0.751 1.343 10.074 10
0.598 1.242 10.139 10
0.555 1.086 10.184 10
0.531 1.065 10.194 10
0.407 1.101 10.204 10
0.277 1.187 10.235 10
0.04 1.268 10.22 10
-0.167 1.321 10.175 10
-0.316 1.319 10.029 10
-0.524 1.264 9.794 10
-0.624 1.213 9.605 10
-0.83 1.06 9.382 10
-1.079 0.883 9.275 10
-1.268 0.758 9.255 10
-1.544 0.577 9.363 10
-1.714 0.497 9.504 10
-1.869 0.392 9.73 10
-2.037 0.253 9.979 10
-2.118 0.172 10.101 10
-2.181 0.019 10.194 10
-2.173 -0.086 10.189 10
-2.173 -0.229 10.16 10
-2.229 -0.385 10.151 10
-2.303 -0.469 10.17 10
-2.422 -0.517 10.201 10
-2.568 -0.536 10.175 10
-2.659 -0.543 10.129 10
-2.719 -0.646 9.974 10
-2.734 -0.785 9.806 10
-2.765 -0.984 9.643 10
-2.837 -1.264 9.425 10
