# Accelerometer Data File
# Started @Fri Apr 23 13:45:35 CEST 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
5.001 7.893 2.219 0
4.829 7.86 2.331 10
4.711 7.769 2.492 9
4.565 7.738 2.813 11
4.537 7.824 3.126 10
4.534 7.898 3.239 10
4.551 7.941 3.179 10
4.596 7.924 2.959 10
4.613 7.829 2.676 9
4.594 7.776 2.415 11
4.556 7.754 2.327 9
4.51 7.8 2.336 11
4.491 7.931 2.449 10
4.508 8.02 2.54 10
4.572 8.073 2.624 10
4.644 8.058 2.609 10
4.745 8.027 2.454 10
4.824 8.013 2.305 10
4.855 8.034 2.164 9
4.833 8.078 2.284 11
4.759 8.116 2.552 9
4.592 8.027 2.748 11
4.35 7.898 2.997 10
4.161 7.747 2.985 9
3.897 7.613 3.04 11
3.61 7.671 3.141 10
3.397 7.769 3.189 9
3.179 8.032 3.624 11
3.035 8.279 3.993 10
3.033 8.267 4.082 10
3.196 8.137 3.924 9
3.363 7.843 3.378 10
3.627 7.651 2.913 10
3.888 7.637 2.748 11
4.036 7.764 2.937 10
4.129 7.912 3.035 10
4.127 7.958 3.052 10
4.074 8.078 3.189 9
3.94 8.164 3.141 51
3.813 8.276 3.251 10
3.687 8.389 3.361 10
3.655 8.358 3.277 10
3.653 8.336 3.27 10
3.751 8.295 3.134 10
3.782 8.14 3.007 10
3.768 8.054 2.954 10
3.758 8.018 2.964 10
3.778 8.039 3.153 10
3.864 8.176 3.332 10
4.036 8.336 3.359 10
4.204 8.446 3.323 10
4.192 8.528 3.145 10
4.027 8.552 3.04 10
3.775 8.552 3.088 10
3.462 8.463 3.136 10
3.246 8.317 3.208 10
3.198 8.257 3.217 10
3.256 8.243 3.256 10
3.375 8.317 3.294 10
3.56 8.386 3.227 10
3.711 8.403 3.066 10
3.756 8.374 2.877 10
3.66 8.353 2.674 10
3.5 8.336 2.576 10
3.32 8.384 2.755 10
3.239 8.463 2.983 10
3.299 8.535 3.224 10
3.485 8.607 3.356 10
3.711 8.638 3.294 10
3.84 8.578 3.05 10
3.914 8.482 2.832 10
3.861 8.386 2.724 10
3.823 8.271 2.705 10
3.754 8.188 2.942 10
3.739 8.14 3.153 10
3.696 8.078 3.315 10
3.639 8.034 3.39 10
3.66 8.042 3.203 10
3.653 8.111 3.086 10
3.675 8.195 3.016 10
3.708 8.346 3.026 10
3.691 8.475 3.174 10
3.722 8.532 3.162 10
3.773 8.453 3.055 10
3.811 8.307 2.868 10
3.883 8.123 2.736 10
3.936 7.948 2.695 10
4.022 7.903 2.782 10
4.118 7.898 2.964 10
4.18 7.931 3.09 10
4.235 7.989 3.177 10
4.101 7.972 3.057 10
3.957 7.915 2.841 10
3.665 8.032 2.762 10
3.38 8.125 2.724 10
3.335 8.425 3.038 10
3.399 8.559 3.215 10
3.612 8.518 3.256 10
3.816 8.54 3.229 10
3.916 8.437 3.026 10
3.964 8.384 2.992 10
4.039 8.008 2.566 10
4.122 7.57 2.207 10
3.995 7.177 1.884 10
3.986 7.232 2.003 10
3.95 7.611 2.516 10
3.907 7.939 2.968 10
4.074 8.221 3.385 10
4.089 8.212 3.359 10
4.125 8.281 3.258 10
4.168 8.401 3.217 10
4.165 8.319 3.122 10
4.141 8.197 2.992 10
4.062 7.912 3.045 10
4.019 7.733 2.997 10
4.022 7.754 3.004 10
4.062 7.764 3.033 10
4.165 7.783 2.932 10
4.232 7.697 2.932 10
4.266 7.738 2.937 10
4.261 7.79 2.92 10
4.144 7.972 2.743 10
4.031 8.085 2.568 10
3.952 8.07 2.389 10
3.914 7.972 2.636 10
3.96 7.819 3.064 10
4.182 7.726 3.653 10
4.513 7.711 3.866 10
4.802 7.781 3.653 10
4.989 7.795 3.105 10
4.826 7.73 2.509 10
4.556 7.587 2.288 10
4.326 7.424 2.394 10
4.199 7.316 2.834 10
4.402 7.287 3.354 10
4.881 7.184 3.548 10
5.319 7.101 3.416 10
5.882 7.062 3.363 10
6.282 7.034 3.117 10
6.488 7.137 4.41 10
6.387 7.216 5.185 10
6.162 7.249 5.882 10
6.279 7.515 6.026 10
6.354 7.584 4.347 10
6.734 7.678 3.186 10
6.117 7.412 2.796 10
5.157 6.914 2.959 10
3.639 6.713 4.979 10
3.157 6.768 5.485 10
3.675 7.182 5.219 10
4.656 7.572 4.23 10
6.157 7.805 1.991 10
5.849 7.467 2.293 10
4.994 7.264 2.782 10
3.675 7.084 3.993 10
2.719 7.489 5.262 10
2.791 8.291 5.202 10
3.409 8.959 4.955 10
4.189 8.827 4.625 10
4.606 8.111 4.237 10
5.039 6.873 4.108 10
5.829 5.975 4.278 10
6.457 5.877 4.532 10
7.017 6.272 4.9 10
7.307 7.105 5.315 10
7.079 7.491 5.662 10
6.947 7.625 5.473 10
6.883 7.266 5.169 10
6.782 6.89 4.458 10
6.842 6.622 3.514 10
6.538 6.665 3.414 10
6.05 6.548 3.684 10
5.597 6.447 4.362 10
4.838 6.138 5.061 10
3.876 5.655 5.458 10
3.098 5.331 5.485 10
2.286 4.733 5.147 10
1.781 4.343 4.788 10
1.465 4.249 3.852 10
0.797 5.475 3.112 10
0.162 6.976 2.736 10
-0.687 9.677 2.947 10
-1.254 12.196 3.73 10
-1.201 13.0 4.675 10
-0.672 12.667 5.298 10
0.071 11.135 5.334 10
1.458 9.248 5.477 10
2.923 7.97 5.477 10
3.912 7.829 5.801 10
4.637 7.781 6.473 10
4.721 8.087 7.038 10
4.053 7.769 7.864 10
3.222 7.141 8.446 10
2.655 6.421 8.678 10
2.138 5.578 8.757 10
2.025 5.147 8.36 10
1.996 5.003 8.125 10
1.668 4.8 8.104 10
1.29 4.718 8.236 10
0.61 4.52 8.549 10
0.023 4.268 8.798 10
-0.263 4.077 8.834 10
-0.426 3.816 8.93 10
-0.287 3.672 8.844 10
-0.196 3.572 9.093 10
-0.328 3.306 9.528 10
-0.584 3.11 9.904 10
-0.967 2.636 10.603 10
-1.316 2.193 11.113 10
-1.288 1.771 11.621 10
-1.149 1.307 12.105 10
-0.883 1.12 12.265 10
-0.718 0.814 12.375 10
-0.799 0.584 12.188 10
-0.991 0.397 12.026 10
-1.165 0.282 11.841 10
-1.24 0.287 11.707 10
-1.34 0.383 11.777 10
-1.532 0.172 12.083 10
-1.74 -0.11 12.411 10
-1.675 -0.711 12.634 10
-1.493 -1.335 12.765 10
-0.804 -1.726 12.15 10
0.021 -2.09 11.293 10
0.574 -2.135 10.541 10
1.051 -2.128 9.849 10
1.012 -1.884 9.878 10
0.837 -1.666 10.149 10
0.641 -1.498 10.45 10
0.521 -1.383 10.692 10
0.689 -1.637 10.654 10
1.194 -1.989 10.213 10
1.721 -2.291 9.742 10
2.389 -2.504 8.904 10
2.868 -2.513 8.135 10
3.189 -2.063 7.637 10
3.157 -1.479 7.62 10
2.985 -0.984 7.97 10
2.353 -0.605 8.623 10
1.422 -0.837 9.315 10
0.842 -1.204 9.526 10
0.588 -1.568 9.61 10
0.794 -1.814 9.39 10
1.151 -1.647 8.839 10
1.517 -1.319 8.547 10
1.558 -0.993 8.382 10
1.355 -0.773 8.03 10
1.12 -0.718 8.101 10
0.842 -0.866 8.02 10
0.205 -1.144 7.929 10
-0.186 -1.316 8.025 13
-0.778 -1.62 8.216 7
-1.094 -1.812 8.121 10
-1.051 -1.874 8.034 10
-0.878 -1.798 7.979 10
-0.507 -1.589 7.829 10
-0.476 -1.422 8.283 10
-0.402 -1.192 8.667 10
-0.457 -1.101 9.018 10
-0.306 -0.725 9.279 10
-0.057 -0.378 9.117 10
-0.222 -0.356 9.361 10
-0.184 -0.667 9.32 10
-0.351 -1.264 9.37 10
-0.311 -1.968 9.373 10
0.1 -2.408 9.04 10
0.098 -2.513 9.248 10
0.093 -2.329 9.648 10
-0.119 -2.037 10.096 10
-0.553 -1.673 10.886 10
-0.569 -1.273 11.173 10
-0.584 -1.163 11.269 10
-0.363 -0.974 11.494 10
0.076 -0.857 11.377 9
0.354 -0.509 11.326 11
0.785 0.093 10.998 10
0.981 0.617 10.541 12
1.254 1.019 10.125 8
1.484 1.154 9.888 10
1.199 0.476 10.4 10
0.775 -0.469 10.867 13
0.275 -1.292 11.293 7
-0.069 -2.054 11.659 10
0.011 -2.135 11.429 12
0.232 -1.948 11.245 8
0.509 -1.69 10.915 10
0.632 -1.493 10.644 10
0.713 -1.364 10.393 10
0.711 -1.082 10.326 10
0.651 -0.871 10.405 10
0.596 -0.565 10.393 10
0.517 -0.316 10.486 10
0.361 -0.301 10.223 10
0.313 -0.196 9.911 10
0.26 -0.186 9.691 10
0.337 -0.052 9.469 10
0.67 0.26 9.406 10
0.895 0.483 9.392 10
1.01 0.77 9.402 10
1.115 1.022 9.512 14
1.125 1.175 9.634 6
1.249 1.371 9.715 10
1.484 1.503 9.773 10
1.546 1.414 9.691 14
1.608 1.326 9.61 6
1.544 0.948 9.682 10
1.635 0.593 9.77 10
1.778 0.371 9.9 10
1.975 0.332 9.991 10
2.339 0.79 9.974 10
2.547 1.223 9.94 10
2.923 1.927 9.823 10
3.584 2.705 9.71 13
4.089 3.234 9.593 7
4.623 4.283 9.378 10
4.989 5.061 9.246 10
4.826 6.052 9.062 10
4.429 6.931 9.064 14
4.003 7.29 9.165 6
3.236 7.936 9.224 10
2.662 8.111 9.37 10
2.377 9.447 9.229 10
1.932 10.692 9.358 13
1.826 11.65 9.528 7
1.278 11.482 9.763 10
0.675 10.266 10.098 10
0.153 8.128 10.065 13
-0.675 5.231 9.95 7
-1.06 3.459 9.77 10
-1.532 1.443 9.55 10
-1.79 0.861 9.227 13
-1.742 1.039 8.985 10
-1.46 1.685 8.643 7
-1.091 2.576 8.341 10
-0.816 3.224 8.09 10
-0.481 3.876 7.769 10
-0.38 4.058 7.548 10
-0.308 3.938 7.407 10
-0.277 3.639 7.417 10
-0.32 3.227 7.649 10
-0.66 2.779 7.987 10
-0.972 2.633 8.245 10
-1.407 2.492 8.561 10
-1.829 2.461 8.724 10
-2.262 2.41 8.839 10
-2.868 2.521 9.018 10
-3.349 2.626 9.141 10
-3.857 2.837 9.184 10
-4.055 3.102 9.169 10
-4.072 2.908 9.148 9
-4.259 2.597 9.27 10
-4.419 2.181 9.471 11
-4.529 2.087 9.476 9
-4.429 1.893 9.528 10
-4.158 1.817 9.437 11
-3.734 1.79 9.303 10
-3.361 1.441 9.366 10
-3.217 1.458 9.279 9
-2.724 1.501 9.148 14
-2.384 1.493 9.059 6
-1.905 1.501 8.863 11
-1.417 1.541 8.71 9
-1.297 1.577 8.635 11
-1.096 1.462 8.683 13
-1.034 1.333 8.839 6
-1.051 1.158 9.009 11
-1.029 0.991 9.174 9
-1.089 0.974 9.217 11
-1.091 1.101 9.208 10
-1.015 1.273 9.184 10
-1.01 1.419 9.186 10
-0.969 1.426 9.301 10
-0.986 1.29 9.469 10
-0.737 1.12 9.569 10
-0.435 0.948 9.615 10
0.069 0.749 9.689 10
0.596 0.335 9.737 10
0.857 -0.045 9.852 10
1.11 -0.603 9.892 10
1.458 -1.13 9.916 30
