index;x;y;z
0;-0.025070;0.212936;-0.978378
1;0.038849;0.176392;-0.980606
2;-0.232513;0.396042;-0.880905
3;0.873505;0.427795;-0.864151
4;0.503510;0.122574;-0.929260
5;0.277191;0.612793;-0.904678
6;1.044861;0.182800;-0.394379
7;0.024750;0.583908;-0.768036
8;0.780685;0.029251;-0.342407
9;-0.527954;0.461517;-0.603531
10;1.437439;0.623398;0.254333
11;-0.822998;0.445694;-0.621719
12;0.955307;-0.410782;-0.566727
13;-0.625717;0.359344;-0.815994
14;0.992233;0.506119;-0.950394
15;0.729767;0.407669;-0.715210
16;0.576721;0.527420;-0.810654
17;-0.141418;0.344208;-0.652603
18;0.823502;0.714905;-0.465530
19;0.868835;0.378632;-0.288361
20;0.035583;0.741272;-0.665436
21;0.716370;0.345001;-0.203140
22;-0.195724;0.376007;-0.853882
23;0.869736;0.145874;0.045273
24;0.520416;0.451324;-0.793045
25;1.030151;0.733063;-0.442963
26;0.897842;0.331665;-0.254883
27;-0.396255;0.626633;-0.675568
28;0.864410;0.559616;-0.037994
29;-0.410507;0.453140;-0.770599
30;1.144791;0.055679;-0.714966
31;0.924362;0.232956;-0.450073
32;-0.105911;0.508209;-0.741119
33;0.968918;0.215790;-0.089584
34;-0.540970;0.513092;-0.304337
35;1.072800;0.245148;0.136322
36;0.611176;0.326218;-0.743423
37;-0.133224;0.653183;-0.696213
38;0.793945;0.346191;-0.176773
39;-0.683197;0.448944;-0.637222
40;0.890579;0.483688;-0.871033
41;0.831406;0.345718;-0.543335
42;-0.473724;0.643143;-0.715057
43;0.097046;-0.140884;-0.269012
44;1.160141;0.136856;-1.261063
45;0.524963;0.884430;-0.360550
46;0.955231;1.682556;-1.864624
47;0.168976;0.787949;-1.153412
48;0.637787;0.459915;-0.480484
49;0.450714;0.433228;-0.109436
50;1.156128;1.515411;-0.727646
51;1.033661;1.032394;-0.832672
52;1.083191;0.596909;-0.715836
53;-0.886124;1.818466;-1.246368
54;1.440567;0.088974;-1.707245
55;1.648422;0.954025;-0.279556
56;1.026688;1.943817;-1.108536
57;0.292801;1.477264;-2.582779
58;1.576706;1.228592;-0.689255
59;0.267365;0.970276;-2.032486
60;0.445404;0.666809;0.120514
