index;x;y;z
0;-0.005280;0.206863;-0.980316
1;0.093094;0.172638;-0.980545
2;0.083099;0.673447;-0.602249
3;-0.170639;0.715027;-0.096420
4;0.377701;1.165817;-0.460648
5;-0.397690;1.150177;-0.152618
6;0.218338;1.498749;-0.729553
7;-0.316788;0.916138;-0.566650
8;0.781342;0.715958;-0.643417
9;-0.319351;0.734100;0.074234
10;-0.082733;0.306107;-0.778656
11;-0.001541;1.157959;0.100281
12;-0.197021;0.678787;-0.840363
13;0.960190;0.454437;-0.556427
14;-0.259567;0.670624;0.092499
15;0.084900;0.491501;-0.846298
16;-0.818832;0.717499;-0.126617
17;0.361847;0.218185;-1.151001
18;-0.010742;1.336731;0.172562
19;-0.327042;0.765778;-0.591522
20;0.660995;0.630951;-0.407913
21;-0.338196;0.799484;0.475632
22;0.742889;0.478485;-0.663544
23;-0.412033;0.705627;0.192963
24;-0.262039;0.674881;-0.851151
25;0.479477;1.102020;-0.243484
26;-0.427765;1.206680;-0.595154
27;1.023392;0.466675;-0.503311
28;-0.127731;0.533035;0.102402
29;0.095627;0.448288;-0.829254
30;-0.282898;0.718964;-0.101639
31;-0.351486;0.683426;-0.894714
32;0.273987;1.351288;-0.089462
33;-0.309540;0.941910;-0.516144
34;0.423798;0.953018;-0.484436
35;-0.282516;0.862610;-0.527069
36;0.946381;0.701630;-0.466354
37;-0.440109;0.765854;-0.083054
38;0.254669;0.486420;-0.610092
39;-0.452408;0.490326;-0.330368
40;-0.187576;0.454865;-1.047470
41;0.040909;1.579681;0.030212
42;-0.520355;0.882172;-0.845505
43;0.087143;0.614471;-2.022079
44;0.947968;1.182068;-0.402786
45;1.964142;0.723816;-1.431747
46;0.134872;0.571732;-2.796478
47;0.424713;-0.048233;0.445892
48;-0.821686;0.517868;-1.871445
49;0.901215;0.245895;-0.033035
50;0.236206;-0.173386;-2.002518
51;0.007614;-0.070343;0.348022
52;2.035431;0.418533;-2.044586
53;1.119797;0.833817;-1.047363
54;0.519012;-0.563522;0.001404
55;0.792038;0.966843;-0.070267
56;1.034790;1.149445;-2.818863
57;1.895752;0.122238;0.161346
58;0.171112;0.477112;0.218140
59;1.066345;0.254791;-0.622482
60;-0.030731;-0.146423;0.401978
