# Accelerometer Data File
# Started @Tue Mar 30 14:45:43 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.371 1.367 9.294 10
1.692 1.28 9.059 10
1.905 1.233 8.93 10
1.977 1.206 8.906 10
1.956 1.161 8.992 10
1.862 1.139 9.145 10
1.714 1.125 9.32 11
1.604 1.077 9.437 9
1.587 1.048 9.445 10
1.678 0.964 9.37 10
1.824 0.876 9.232 10
2.011 0.778 9.145 10
2.171 0.648 9.133 10
2.224 0.574 9.203 10
2.207 0.514 9.327 10
1.999 0.502 9.519 10
1.817 0.521 9.636 10
1.551 0.545 9.758 10
1.355 0.555 9.825 10
1.323 0.555 9.782 10
1.422 0.569 9.655 10
1.604 0.579 9.524 10
1.889 0.593 9.37 10
2.121 0.612 9.265 10
2.26 0.567 9.27 10
2.317 0.483 9.368 10
2.272 0.395 9.488 10
2.224 0.318 9.55 10
2.14 0.292 9.586 10
2.157 0.488 9.334 10
2.561 0.696 8.923 10
2.865 0.852 8.58 17
3.169 1.007 8.238 6
3.32 0.885 8.104 7
3.083 0.751 8.13 9
3.526 0.5 8.07 11
3.969 0.248 8.01 10
3.541 0.349 8.343 9
4.132 0.191 8.532 10
4.146 0.191 8.796 10
1.968 0.775 9.763 11
0.794 1.101 10.323 9
-1.501 0.751 11.456 10
-1.575 1.45 10.766 10
0.543 1.565 9.373 11
2.188 0.634 8.573 9
3.045 1.11 7.97 11
1.68 0.538 9.188 9
1.867 -0.011 9.524 10
2.528 0.483 9.265 10
4.094 0.332 8.18 10
5.152 0.354 7.395 11
4.659 0.354 7.493 9
3.969 0.308 7.769 10
3.265 0.435 8.245 10
2.992 0.416 8.53 11
2.681 0.452 8.841 10
2.566 0.533 8.975 9
2.48 0.608 9.085 10
2.501 0.636 9.095 11
2.561 0.61 9.078 10
2.659 0.612 9.095 10
2.729 0.622 9.136 9
2.772 0.703 9.236 10
2.738 0.816 9.385 10
2.667 0.9 9.5 11
2.422 1.012 9.677 19
2.07 1.067 9.794 10
1.874 1.07 9.787 10
1.678 1.072 9.78 10
1.735 1.034 9.655 10
1.965 0.96 9.502 10
2.116 0.907 9.425 10
2.3 0.84 9.299 10
2.391 0.768 9.193 22
2.406 0.737 9.062 9
2.42 0.706 8.93 10
2.379 0.72 8.846 10
2.351 0.751 8.796 10
2.331 0.794 8.798 10
2.391 0.842 8.75 10
2.473 0.859 8.705 10
2.564 0.881 8.635 10
2.631 0.888 8.573 10
2.619 0.89 8.561 10
2.545 0.909 8.585 10
2.461 0.924 8.633 10
