# Accelerometer Data File
# Started @Tue Mar 30 14:54:11 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.464 -10.445 0.675 10
-0.452 -11.303 1.611 10
-0.428 -11.757 1.932 10
-0.347 -12.279 2.288 10
-0.047 -12.785 2.485 10
-0.102 -12.696 2.545 10
-0.196 -12.421 2.64 10
-0.347 -12.078 2.7 10
-0.481 -11.619 2.786 10
-0.502 -11.314 2.849 10
-0.404 -11.142 2.786 10
-0.265 -10.986 2.636 10
-0.143 -10.948 2.458 10
-0.026 -11.008 2.25 10
-0.067 -11.307 2.078 15
-0.148 -11.59 1.994 5
-0.244 -11.882 1.841 10
-0.335 -12.076 1.719 10
-0.337 -11.99 1.565 10
-0.414 -11.798 1.309 10
-0.476 -11.597 1.122 10
-0.689 -11.317 0.897 10
-0.914 -11.133 0.756 10
-1.264 -11.025 0.79 10
-1.898 -10.955 0.972 10
-2.382 -10.965 1.192 10
-3.167 -10.922 1.551 10
-4.077 -10.771 1.941 10
-4.702 -10.582 2.183 10
-5.571 -10.309 2.501 10
-6.138 -10.089 2.681 10
-6.457 -9.995 2.76 10
-6.782 -9.873 2.758 10
-6.864 -9.835 2.679 10
-6.962 -9.643 2.42 9
-6.986 -9.461 2.159 11
-7.053 -9.133 1.855 10
-7.266 -8.719 1.532 10
-7.462 -8.458 1.388 10
-7.836 -8.14 1.249 10
-8.183 -7.915 1.237 10
-8.384 -7.776 1.244 11
-8.525 -7.534 1.216 9
-8.489 -7.35 1.182 10
-8.36 -7.12 1.005 10
-8.188 -6.816 0.718 10
-8.075 -6.615 0.466 10
-8.056 -6.447 0.299 10
-8.106 -6.406 0.272 10
-8.319 -6.414 0.447 10
-8.439 -6.349 0.596 10
-8.465 -6.251 0.66 10
-8.276 -6.069 0.684 10
-7.967 -5.913 0.617 10
-7.62 -5.779 0.445 10
-7.223 -5.693 0.191 10
-7.041 -5.691 -0.021 10
-6.761 -5.741 -0.287 10
-6.55 -5.81 -0.476 10
-6.39 -5.832 -0.584 10
-6.189 -5.815 -0.696 10
-6.086 -5.746 -0.756 10
-5.971 -5.705 -0.773 10
-5.887 -5.705 -0.761 10
-5.844 -5.743 -0.744 10
-5.93 -5.872 -0.696 10
-6.098 -6.119 -0.682 10
-6.234 -6.325 -0.696 10
-6.27 -6.605 -0.806 10
-6.177 -6.794 -0.948 10
-6.026 -6.924 -1.077 10
-5.887 -7.122 -1.144 10
-5.849 -7.247 -1.115 10
-5.88 -7.489 -0.962 10
-5.961 -7.675 -0.775 10
-6.117 -7.922 -0.505 10
-6.337 -8.286 -0.117 10
-6.488 -8.532 0.146 10
-6.619 -8.887 0.478 10
-6.665 -9.112 0.665 10
-6.569 -9.217 0.785 10
-6.411 -9.282 0.976 10
-6.272 -9.239 1.098 10
-6.131 -9.2 1.319 10
-6.086 -9.241 1.594 10
-6.057 -9.361 1.826 16
-6.028 -9.481 2.059 4
-6.002 -9.595 2.193 10
-5.894 -9.622 2.205 10
-5.705 -9.56 2.087 10
-5.516 -9.497 1.97 10
-5.353 -9.368 1.912 10
-5.252 -9.251 1.872 10
-5.425 -9.09 2.135 10
-5.616 -8.834 2.468 10
-5.781 -8.645 2.741 10
-5.925 -8.367 2.995 10
-5.884 -8.094 3.011 10
-5.825 -7.917 2.959 10
-5.736 -7.68 2.82 10
-5.669 -7.532 2.7 10
-5.765 -7.429 2.545 10
-6.062 -7.287 2.492 9
-6.387 -7.206 2.525 11
-6.758 -7.058 2.612 10
-7.005 -6.952 2.767 9
-7.007 -6.811 2.76 11
-6.95 -6.617 2.683 10
-6.847 -6.49 2.554 9
-6.71 -6.339 2.377 11
-6.653 -6.313 2.255 9
-6.655 -6.339 2.202 11
-6.698 -6.459 2.114 10
-6.775 -6.603 2.073 10
-6.866 -6.789 2.006 10
-7.01 -7.029 1.958 10
-7.113 -7.175 1.946 10
-7.244 -7.414 1.984 10
-7.326 -7.56 2.054 10
-7.335 -7.841 2.159 10
-7.268 -8.298 2.207 10
-7.173 -8.662 2.205 10
-6.962 -9.112 2.08 10
-6.653 -9.358 1.807 10
-6.421 -9.428 1.592 10
-6.064 -9.435 1.29 10
-5.822 -9.356 1.11 10
-5.623 -9.217 0.988 10
-5.437 -9.03 0.95 10
-5.374 -8.906 0.998 10
-5.341 -8.786 1.096 10
-5.382 -8.743 1.23 10
-5.394 -8.674 1.271 10
-5.394 -8.499 1.319 10
