# Accelerometer Data File
# Started @Thu Apr 29 15:31:40 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
5.458 0.114 7.711 0
4.994 -0.083 7.939 199
4.663 -0.196 8.157 204
4.177 -0.196 8.786 197
4.568 -0.079 8.911 203
5.597 0.325 8.362 199
6.189 0.39 7.73 199
7.036 0.945 6.766 201
7.225 1.352 6.789 200
6.679 1.034 6.397 198
4.517 1.558 7.206 200
1.381 1.362 8.968 202
-1.568 0.845 9.301 199
-3.768 0.723 10.52 201
-4.443 -0.138 10.582 197
-3.342 -0.488 9.837 200
-0.907 -0.102 9.811 200
1.067 -0.028 8.717 201
3.711 0.859 7.129 201
3.737 2.355 7.108 199
0.964 2.868 6.988 199
-2.796 2.24 7.642 200
-6.55 1.841 7.709 200
-9.342 0.138 6.301 200
-9.777 -0.457 5.861 200
-8.224 0.706 5.729 200
-5.307 1.206 7.041 200
-0.936 2.049 7.508 200
1.137 2.748 7.508 200
-1.137 2.999 9.124 200
-4.017 1.522 8.022 201
-7.199 0.445 7.376 199
-8.609 -1.486 7.302 201
-6.698 -2.657 6.078 199
-4.223 -1.41 7.364 200
-0.902 -0.533 8.47 200
1.347 0.608 8.482 200
2.614 1.096 8.212 201
0.519 1.489 8.473 202
-4.362 0.9 7.773 198
-7.661 -0.189 6.643 199
-9.916 -1.221 5.94 200
-9.777 -2.375 5.085 202
-7.951 -2.205 6.354 198
-5.82 -0.766 7.809 200
-3.136 0.916 8.705 200
-0.828 1.659 9.009 200
-1.151 2.157 9.301 202
-3.268 2.236 9.399 198
-5.595 0.878 8.779 200
-7.223 -0.201 8.339 201
-6.777 -0.454 7.682 199
-4.067 -0.804 7.996 200
-1.491 0.28 9.411 200
1.003 1.0 9.002 204
1.9 1.134 9.337 198
1.312 1.699 9.495 198
