# Accelerometer Data File
# Started @Thu Apr 29 15:39:56 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
4.75 0.215 8.374 0
4.855 -0.033 8.288 200
5.312 -0.538 8.068 200
5.463 -0.701 8.073 202
5.489 -1.362 7.943 200
5.774 -1.577 8.049 200
5.02 -2.92 7.783 200
4.369 -4.661 7.129 199
2.636 -5.753 7.151 202
2.166 -5.025 7.35 198
2.604 -3.234 7.125 198
2.966 -0.265 6.605 204
4.69 2.229 6.871 197
4.96 2.245 6.406 200
4.673 2.257 7.074 201
3.629 1.79 8.87 198
2.578 2.114 8.688 201
0.308 3.579 8.619 200
-1.821 4.663 8.101 200
-2.466 6.588 7.031 201
-3.102 8.432 6.141 198
-4.627 8.552 5.042 201
-4.946 8.532 4.611 200
-5.935 5.762 5.135 199
-6.16 2.08 6.172 201
-3.186 1.11 7.003 200
-0.442 1.477 7.778 200
1.546 3.143 7.584 200
2.844 4.69 7.51 200
2.908 4.304 8.152 199
2.173 2.983 8.3 200
2.023 2.978 8.226 201
1.62 4.45 7.431 200
0.579 6.813 6.232 203
0.184 9.787 3.962 196
-0.165 11.58 1.113 200
-0.787 11.259 -0.543 200
-2.331 9.864 -0.059 201
-4.582 6.856 1.242 200
-6.528 3.265 4.039 199
-6.038 0.023 6.275 200
-3.526 -1.663 5.786 201
0.596 -0.615 5.221 200
4.611 1.146 5.434 199
5.501 3.581 5.59 200
5.511 4.378 6.892 200
4.027 3.289 8.293 201
1.941 2.226 8.362 200
-0.011 2.975 7.582 199
-1.156 5.02 5.753 200
-1.379 8.008 3.564 200
-1.175 10.917 0.277 200
-0.366 11.219 -1.735 200
-0.368 9.497 -1.048 200
-2.523 7.635 0.749 200
-4.79 3.952 4.335 201
-4.01 0.646 6.653 199
-2.983 -0.481 7.23 201
-0.411 -0.385 5.408 201
3.442 1.817 5.379 198
3.368 4.115 6.083 200
3.129 5.08 6.706 200
2.231 4.074 8.846 200
0.497 3.648 8.528 201
0.158 4.211 7.395 201
0.021 6.224 5.26 198
0.718 8.942 2.796 203
1.209 10.137 0.169 198
1.666 10.256 -2.363 201
-0.237 9.191 -1.249 199
-3.05 7.285 -0.627 199
-6.107 4.73 0.447 201
-6.976 1.81 2.705 200
-5.276 1.386 3.548 200
-1.604 1.448 4.771 201
2.382 3.311 5.499 198
3.263 6.373 6.442 202
4.228 6.066 6.375 198
3.198 5.231 7.311 201
1.455 4.754 8.305 199
0.366 4.9 7.299 201
-0.507 6.655 6.028 201
-0.924 9.165 3.43 199
-0.586 10.623 0.184 199
0.191 10.632 -1.829 201
-1.039 8.707 -1.175 199
-2.466 7.762 0.227 201
-4.551 5.442 2.755 200
-5.037 3.134 5.698 200
-3.564 3.402 5.729 199
-2.13 3.327 6.995 200
0.766 4.577 7.17 201
1.17 5.877 7.577 200
1.13 5.592 7.898 200
1.786 4.642 7.4 200
0.308 4.96 6.959 200
-0.715 7.048 4.714 200
-1.97 9.124 1.379 201
-2.039 10.881 -1.501 199
-0.43 10.984 -2.468 201
-1.005 9.78 -0.701 198
-2.106 7.979 0.976 200
-4.548 5.178 2.734 201
-6.459 3.157 4.544 200
-5.422 2.489 3.768 200
-2.312 2.774 5.619 199
0.706 4.862 6.639 200
2.023 5.494 6.957 200
2.679 4.778 8.221 200
0.869 3.746 8.456 201
-2.209 1.711 8.566 201
-4.331 0.976 8.274 199
-6.203 -0.213 7.206 201
-5.463 -0.83 6.95 199
-4.39 -1.096 5.798 200
-7.173 1.283 3.263 199
-7.996 2.145 0.787 200
-9.588 4.122 -0.766 200
-10.84 6.093 -0.356 200
-7.79 4.441 1.355 200
-7.613 4.558 3.071 200
-7.994 4.295 2.066 200
-8.159 3.675 0.09 200
-9.052 4.434 -0.986 201
-9.605 5.279 1.163 200
-8.47 2.434 3.95 199
-5.47 -0.418 5.784 200
-2.6 -2.193 7.934 201
1.632 -2.896 6.921 199
6.114 -0.921 6.469 201
7.031 0.809 6.533 199
6.703 -0.869 5.935 201
5.88 -3.541 5.896 199
1.783 -7.692 4.187 205
1.702 -8.827 4.141 195
2.882 -7.812 4.455 201
2.815 -6.971 5.276 201
4.879 -3.749 7.752 199
2.085 -4.395 8.188 201
0.136 -4.975 5.489 199
-0.074 -6.318 3.399 199
-1.292 -5.906 3.806 201
-0.234 -3.418 4.642 201
-0.545 -1.357 7.374 198
-2.913 0.89 8.468 200
-5.212 -0.818 5.173 201
