# Accelerometer Data File
# Started @Thu Apr 29 15:41:28 GMT+01:00 2021
#
#
# sensor Vendor: Bosch
# sensor Name: BMA254
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.956 6.22 6.847 0
-1.963 5.844 7.175 199
-1.999 5.365 7.615 200
-1.917 4.927 8.106 200
-1.788 4.762 8.525 200
-1.69 4.661 8.549 200
-1.661 4.527 8.523 200
-1.647 4.359 8.667 200
-1.721 4.17 8.659 200
-1.714 4.01 8.853 200
-1.695 3.892 8.973 203
-1.776 3.732 8.971 202
-1.924 3.579 8.906 195
-2.2 3.526 9.035 201
-2.37 3.165 8.894 200
-2.736 2.753 9.014 202
-3.112 2.303 9.155 198
-3.409 1.563 9.129 200
-3.895 0.895 9.287 201
-4.223 0.181 9.126 198
-4.587 -0.648 8.918 202
-5.185 -0.993 8.537 199
-5.834 -0.943 8.259 199
-6.478 -0.943 7.711 200
-7.098 -1.036 7.146 201
-7.46 -1.51 6.66 201
-7.575 -2.066 6.27 200
-7.529 -2.384 6.205 199
-7.323 -2.513 6.256 199
-7.244 -2.58 6.43 201
-7.206 -2.801 6.327 199
-7.074 -3.1 6.263 201
-7.22 -3.433 6.136 201
-7.359 -3.816 5.753 199
-7.51 -4.01 5.415 201
-7.805 -4.07 4.836 199
-8.042 -3.979 4.266 199
-8.279 -3.79 3.842 201
-8.564 -3.588 3.466 200
-8.913 -3.442 3.138 200
-9.222 -3.277 2.628 201
-9.406 -3.069 2.015 200
-9.461 -2.92 1.338 199
-9.799 -2.844 0.62 201
-9.911 -2.794 0.181 199
-10.151 -2.961 -0.011 199
-9.969 -3.088 0.119 201
-9.469 -3.217 0.416 200
-9.392 -3.363 0.565 200
-9.569 -2.738 1.295 199
-9.469 -2.082 2.597 200
-8.568 -1.051 4.63 201
-6.696 0.409 6.708 200
-4.261 1.242 8.262 200
-2.425 2.576 8.7 199
-1.11 3.608 8.35 201
-0.629 4.572 7.896 202
-0.09 5.918 7.082 198
0.21 6.823 6.385 199
0.27 7.469 5.978 200
0.569 7.967 5.487 200
0.402 8.231 5.31 200
0.581 8.202 5.037 200
0.225 8.901 4.558 200
0.026 9.124 3.794 204
-0.138 9.169 2.803 196
-0.581 9.382 2.765 200
-0.414 9.026 2.425 200
-0.373 9.112 2.861 200
-0.064 9.016 3.363 200
-0.031 9.006 3.26 200
-0.107 9.069 3.55 200
-0.229 8.971 3.569 200

# Completed @Thu Apr 29 15:41:43 GMT+01:00 2021
